shipment_id,project_id,order_date,requested_delivery_date,planned_pickup_datetime,actual_pickup_datetime,planned_delivery_datetime,actual_delivery_datetime,origin_facility_id,destination_facility_id,origin_port_id,destination_port_id,primary_mode,carrier_id,vessel_id,cargo_type_id,units,weight_tons,volume_cbm,length_m,width_m,height_m,oversize_flag,heavy_lift_flag,hazardous_flag,temperature_controlled_flag,service_level,incoterm,planned_distance_km,actual_distance_km,planned_transit_days,delay_hours,delay_days,late_bucket,on_time_flag,status,main_delay_reason,freight_cost_eur,fuel_surcharge_eur,port_cost_eur,customs_cost_eur,total_logistics_cost_eur,cargo_value_eur,logistics_cost_pct_cargo_value,co2e_kg,co2e_kg_per_ton_km,damage_flag,claim_amount_eur,risk_score,risk_level
SHP00011,PRJ007,2023-12-07,2024-01-16,2024-01-04T07:00:00,2024-01-04T06:58:36,2024-01-08T07:10:05,2024-01-08T05:45:04,F010,F001,P010,P001,Sea Breakbulk,CAR004,V001,CG007,8,19.13,27.51,8.31,2.75,2.32,Y,N,N,N,Standard,DDP,1441.3,1496.2,5,0,0.0,On time,Y,Delivered,None,7294.14,876.34,1182.05,861.68,10214.21,408110.76,0.025,1354.64,0.04733,N,0,27,Low
SHP00012,PRJ002,2024-10-26,2024-12-14,2024-12-09T13:00:00,2024-12-09T13:09:20,2024-12-13T09:25:32,2024-12-13T15:11:02,F001,F008,P001,P012,RoRo,CAR003,V002,CG010,3,3.67,18.4,7.27,2.37,2.04,N,N,N,N,Standard,CFR,1281.1,1302.8,5,5.8,0.24,On time,Y,Delivered,Port congestion,2463.77,253.4,1223.8,372.04,4313.01,488373.45,0.0088,213.93,0.04474,N,0,32,Low
SHP00013,PRJ002,2024-01-27,2024-03-05,2024-02-26T07:00:00,2024-02-26T09:50:00,2024-03-01T19:39:25,2024-03-02T00:24:06,F005,F008,P002,P012,RoRo,CAR003,V002,CG001,1,5.08,28.33,9.22,3.22,1.96,Y,N,N,N,Standard,DDP,1376.8,1380.1,5,4.7,0.2,On time,Y,Delivered,None,3240.38,293.6,754.51,302.61,4591.11,377420.5,0.0122,248.3,0.03542,N,0,37,Low
SHP00014,PRJ005,2024-08-07,2024-08-28,2024-08-22T09:00:00,2024-08-22T10:04:36,2024-08-30T01:53:18,2024-08-30T17:55:20,F001,F016,P001,P016,Sea Breakbulk,CAR004,V001,CG007,7,11.6,17.64,7.81,2.13,2.23,N,N,N,N,Standard,EXW,3564.7,3658.3,9,16.0,0.67,On time,Y,Delivered,None,6537.17,409.83,1626.9,505.1,9079.0,221919.44,0.0409,1285.73,0.0303,N,0,30,Low
SHP00015,PRJ003,2025-04-11,2025-06-01,2025-05-20T08:00:00,2025-05-20T07:51:01,2025-05-24T19:44:43,2025-05-25T05:17:14,F004,F011,P004,P006,Sea Breakbulk,CAR004,V001,CG008,2,35.27,524.75,45.48,11.91,10.13,Y,Y,N,N,Standard,CFR,1263.2,1289.7,5,9.5,0.4,On time,Y,Delivered,None,9650.12,1234.41,2415.77,727.32,14027.63,789951.58,0.0178,1207.15,0.02654,N,0,45,Medium
SHP00016,PRJ006,2025-05-02,2025-05-25,2025-05-15T12:00:00,2025-05-15T11:34:25,2025-05-25T12:00:51,2025-05-26T00:50:18,F012,F017,P007,P018,Container Sea,CAR005,V003,CG003,2,7.9,15.81,6.94,2.48,1.88,N,N,N,N,Standard,DAP,5152.4,5179.1,11,12.8,0.53,On time,Y,Delivered,None,3891.72,575.37,1164.13,496.07,6127.29,306268.51,0.02,749.91,0.01833,N,0,29,Low
SHP00017,PRJ006,2024-08-02,2024-09-13,2024-08-30T07:00:00,2024-08-30T07:26:30,2024-09-10T13:12:21,2024-09-11T00:57:59,F014,F017,P003,P018,Sea Breakbulk,CAR004,V001,CG006,8,37.93,76.73,17.09,4.9,4.05,Y,N,N,N,Critical,FCA,5649.8,5821.9,12,11.8,0.49,On time,Y,Delivered,None,29035.85,3890.67,1468.74,1036.57,35431.84,236491.03,0.1498,5651.5,0.02559,N,0,29,Low
SHP00018,PRJ002,2025-01-05,2025-02-19,2025-02-11T09:00:00,2025-02-11T11:04:12,2025-02-16T06:56:19,2025-02-17T21:43:56,F005,F008,P002,P012,Sea Breakbulk,CAR007,V005,CG001,2,6.08,17.22,6.95,1.8,1.28,N,N,N,N,Standard,EXW,1436.2,1494.8,6,38.8,1.62,1-2 days,N,Delivered,Road permit delay,4146.19,459.6,870.95,638.75,6115.5,373679.91,0.0164,261.59,0.02878,N,0,26,Low
SHP00019,PRJ006,2025-02-24,2025-03-20,2025-03-03T08:00:00,2025-03-03T07:43:20,2025-03-13T03:31:25,2025-03-14T07:16:53,F011,F017,P006,P018,Sea Breakbulk,CAR004,V008,CG010,1,1.79,10.21,6.3,1.88,1.72,N,N,N,N,Critical,DDP,5264.5,5460.4,11,27.8,1.16,1-2 days,N,Delivered,Port congestion,9115.68,1346.0,1182.92,517.85,12162.46,223626.09,0.0544,240.06,0.02456,N,0,28,Low
SHP00020,PRJ001,2024-03-26,2024-05-11,2024-05-08T07:00:00,2024-05-08T06:31:12,2024-05-13T19:52:45,2024-05-13T16:04:04,F012,F007,P007,P005,Sea Breakbulk,CAR004,V012,CG005,5,31.24,86.27,17.1,4.74,4.28,Y,N,N,N,Standard,EXW,2088.6,2061.1,6,0,0.0,On time,Y,Delivered,Customs hold,8546.57,543.59,1338.01,675.77,11103.95,1064242.37,0.0104,1559.08,0.02421,Y,31222.61,30,Low
SHP00021,PRJ001,2025-05-03,2025-05-24,2025-05-19T07:00:00,2025-05-19T08:44:27,2025-05-23T07:53:36,2025-05-23T22:17:50,F005,F007,P002,P005,Sea Breakbulk,CAR007,V011,CG005,1,29.03,125.84,18.38,5.93,5.03,Y,N,N,N,Expedite,FCA,1202.3,1234.5,5,14.4,0.6,On time,Y,Delivered,Customs hold,8549.24,1285.8,1827.17,660.12,12322.32,859299.79,0.0143,1057.56,0.02951,N,0,29,Low
SHP00022,PRJ003,2024-10-30,2024-11-19,2024-11-13T12:00:00,2024-11-13T14:15:34,2024-11-18T12:37:48,2024-11-18T23:10:56,F013,F011,P001,P006,Intermodal,CAR006,,CG010,4,4.45,5.53,4.62,0.88,1.37,N,N,N,N,Expedite,FCA,1624.5,1650.4,6,10.6,0.44,On time,Y,Delivered,None,2965.91,350.01,976.73,705.61,4998.26,496049.99,0.0101,144.16,0.01963,N,0,12,Low
SHP00023,PRJ007,2023-12-14,2024-01-12,2024-01-10T14:00:00,2024-01-10T13:31:29,2024-01-11T03:00:00,2024-01-11T15:48:58,F003,F001,,,Road,CAR008,,CG002,2,19.79,88.74,12.96,4.26,3.74,Y,N,N,N,Standard,DAP,527.4,548.8,2,12.8,0.53,On time,Y,Delivered,Customs hold,2368.09,271.91,0,0,2640.0,193815.43,0.0136,1031.77,0.095,N,0,38,Low
SHP00024,PRJ006,2025-07-01,2025-08-16,2025-07-29T13:00:00,2025-07-29T12:12:40,2025-08-09T14:21:57,2025-08-10T02:54:54,F012,F017,P007,P018,Sea Breakbulk,CAR004,V008,CG004,2,32.42,141.56,20.81,6.41,4.91,Y,Y,N,N,Standard,CFR,5552.6,5490.4,12,12.5,0.52,On time,Y,Delivered,None,21617.32,3066.85,2536.09,626.46,27846.72,694322.01,0.0401,4322.16,0.02428,N,0,75,High
SHP00025,PRJ002,2025-02-09,2025-03-10,2025-02-25T09:00:00,2025-02-25T11:38:20,2025-03-02T01:49:32,2025-03-03T03:24:44,F004,F008,P004,P012,Sea Breakbulk,CAR007,V005,CG008,1,93.16,523.71,37.86,11.95,10.45,Y,Y,N,N,Standard,CFR,1281.9,1285.0,6,25.6,1.07,On time,Y,Delivered,Carrier capacity,14822.8,1542.65,3987.2,1289.5,21642.16,2850858.62,0.0076,3013.94,0.02518,N,0,57,Medium
SHP00026,PRJ002,2024-06-24,2024-07-20,2024-07-10T13:00:00,2024-07-10T12:15:32,2024-07-12T10:30:00,2024-07-12T09:34:48,F010,F008,,,Road,CAR001,,CG001,5,3.47,25.5,9.31,1.9,2.28,N,N,N,N,Standard,FCA,2780.8,2759.3,3,0,0.0,On time,Y,Delivered,None,4235.82,328.07,0,636.61,5200.51,238225.84,0.0218,909.6,0.095,N,0,10,Low
SHP00027,PRJ007,2024-12-27,2025-02-02,2025-01-20T12:00:00,2025-01-20T11:23:11,2025-01-25T02:31:42,2025-01-27T09:24:43,F009,F001,P009,P001,Sea Breakbulk,CAR004,V001,CG002,5,24.63,64.3,13.55,4.65,3.84,Y,N,N,N,Standard,FCA,1284.9,1293.2,6,54.9,2.29,3-5 days,N,Delivered,Customs hold,7842.93,791.15,1160.65,948.79,10743.52,278871.66,0.0385,1847.6,0.05801,N,0,33,Low
SHP00028,PRJ004,2024-07-07,2024-08-18,2024-08-06T13:00:00,2024-08-06T15:38:42,2024-08-11T10:47:44,2024-08-11T22:23:11,F011,F018,P006,P009,Intermodal,CAR006,,CG010,2,2.91,5.37,4.31,1.8,1.56,N,N,N,N,Expedite,DAP,1174.9,1158.2,6,11.6,0.48,On time,Y,Delivered,None,2778.14,376.21,1417.11,262.76,4834.21,439744.92,0.011,77.35,0.02295,N,0,21,Low
SHP00029,PRJ007,2025-11-23,2026-01-03,2025-12-30T07:00:00,2025-12-30T06:17:04,2025-12-30T21:06:00,2025-12-30T23:15:16,F004,F001,,,Road,CAR008,,CG008,2,42.07,574.72,40.54,12.19,10.85,Y,Y,N,N,Expedite,DAP,330.7,330.0,1,2.2,0.09,On time,Y,Delivered,None,3998.55,606.85,0,0,4605.4,1306857.33,0.0035,1318.89,0.095,N,0,51,Medium
SHP00030,PRJ006,2025-02-10,2025-03-22,2025-03-06T13:00:00,2025-03-06T13:42:10,2025-03-16T06:35:02,2025-03-16T21:51:43,F012,F017,P007,P018,Container Sea,CAR005,V013,CG001,8,5.4,25.53,10.16,2.2,2.0,N,N,N,N,Expedite,FCA,5019.2,5039.1,11,15.3,0.64,On time,Y,Delivered,None,4592.19,706.1,1096.76,828.12,7223.17,450377.87,0.016,499.16,0.01834,N,0,18,Low
SHP00031,PRJ001,2025-06-06,2025-07-14,2025-07-08T09:00:00,2025-07-08T11:09:42,2025-07-09T00:18:00,2025-07-09T04:21:04,F014,F007,,,Road,CAR011,,CG002,1,15.36,62.14,10.82,4.59,3.97,Y,N,N,N,Standard,DAP,364.4,369.9,2,4.1,0.17,On time,Y,Delivered,None,1610.75,109.85,0,516.45,2237.06,146201.94,0.0153,539.76,0.095,N,0,34,Low
SHP00032,PRJ001,2025-06-24,2025-07-22,2025-07-15T11:00:00,2025-07-15T10:13:49,2025-07-20T09:10:32,2025-07-20T08:28:05,F009,F007,P009,P005,Intermodal,CAR006,,CG002,3,18.85,23.02,5.81,2.39,2.24,N,N,N,N,Standard,EXW,1727.4,1709.6,6,0,0.0,On time,Y,Delivered,None,3487.54,381.28,1282.91,844.25,5995.98,199019.95,0.0301,1056.44,0.03278,N,0,3,Low
SHP00033,PRJ007,2025-04-27,2025-06-01,2025-05-21T15:00:00,2025-05-21T15:54:57,2025-05-25T15:41:43,2025-05-26T16:24:57,F015,F001,P011,P001,Sea Breakbulk,CAR007,V011,CG009,2,13.41,44.13,10.47,3.02,4.15,Y,N,Y,N,Expedite,DAP,988.2,1003.2,5,24.7,1.03,1-2 days,N,Delivered,Customs hold,7448.66,550.65,1200.78,934.5,10134.6,114145.42,0.0888,658.59,0.04896,N,0,50,Medium
SHP00034,PRJ005,2025-01-18,2025-02-27,2025-02-17T15:00:00,2025-02-17T16:03:04,2025-02-24T01:51:35,2025-02-24T16:38:44,F009,F016,P009,P016,Sea Breakbulk,CAR007,V011,CG002,6,22.6,77.17,13.59,4.71,3.74,Y,N,N,N,Critical,EXW,3004.3,3044.6,8,14.8,0.62,1-2 days,N,Delivered,Port congestion,15739.55,1282.87,1158.28,869.2,19049.9,220262.35,0.0865,2157.32,0.03135,N,0,33,Low
SHP00035,PRJ002,2025-08-03,2025-08-25,2025-08-12T13:00:00,2025-08-12T15:08:22,2025-08-19T05:05:08,2025-08-19T09:17:44,F012,F008,P007,P012,Intermodal,CAR006,,CG006,4,42.43,78.29,17.69,5.54,3.95,Y,N,N,N,Expedite,EXW,2404.6,2467.5,8,4.2,0.18,On time,Y,Delivered,Carrier capacity,7294.22,1120.69,1686.24,1176.37,11277.52,255460.97,0.0441,1921.45,0.01835,N,0,27,Low
SHP00036,PRJ006,2025-08-28,2025-10-12,2025-09-26T11:00:00,2025-09-26T12:35:16,2025-10-05T09:00:19,2025-10-06T21:29:10,F009,F017,P009,P018,Sea Breakbulk,CAR004,V001,CG002,7,24.95,102.44,15.5,5.9,4.92,Y,N,N,N,Expedite,DDP,5380.5,5358.6,10,36.5,1.52,1-2 days,N,Delivered,Road permit delay,18240.95,2289.72,1219.94,1054.29,22804.9,205031.39,0.1112,3825.73,0.02861,N,0,37,Low
SHP00037,PRJ002,2025-09-10,2025-10-31,2025-10-21T13:00:00,2025-10-21T13:00:50,2025-10-27T11:01:32,2025-10-28T10:50:42,F010,F008,P010,P012,Sea Breakbulk,CAR004,V012,CG001,1,7.55,7.77,4.26,2.67,0.84,Y,N,N,N,Standard,DDP,2133.0,2190.9,7,23.8,0.99,On time,Y,Delivered,Customs hold,6433.71,843.25,1153.54,685.99,9116.49,460465.71,0.0198,476.54,0.02881,N,0,46,Medium
SHP00038,PRJ005,2025-07-15,2025-08-10,2025-08-04T10:00:00,2025-08-04T11:20:45,2025-08-11T09:37:51,2025-08-12T10:02:40,F012,F016,P007,P016,Sea Breakbulk,CAR004,V001,CG007,3,7.19,65.86,16.27,4.22,4.16,Y,N,N,N,Standard,DDP,3216.7,3263.8,8,24.4,1.02,On time,Y,Delivered,Weather disruption,7140.03,818.69,842.56,638.68,9439.96,169697.05,0.0556,566.57,0.02414,N,0,35,Low
SHP00039,PRJ006,2025-07-26,2025-09-19,2025-09-01T07:00:00,2025-09-01T06:58:19,2025-09-12T23:37:21,2025-09-12T16:15:25,F005,F017,P002,P018,Sea Breakbulk,CAR007,V011,CG005,1,19.93,134.57,22.44,6.09,4.71,Y,N,N,N,Critical,DAP,5614.8,5536.3,12,0,0.0,On time,Y,Delivered,None,20100.98,2770.47,1064.19,651.54,24587.18,746541.71,0.0329,2811.13,0.02548,Y,4164.58,35,Low
SHP00040,PRJ006,2024-09-14,2024-11-09,2024-10-22T14:00:00,2024-10-22T13:47:18,2024-11-02T05:01:07,2024-11-03T17:28:03,F004,F017,P004,P018,Sea Breakbulk,CAR004,V008,CG008,1,90.18,553.71,43.99,12.37,10.48,Y,Y,N,N,Standard,DDP,5627.9,5551.5,12,36.4,1.52,1-2 days,N,Delivered,Customs hold,43133.44,4570.71,3372.01,1476.07,52552.22,2712002.82,0.0194,12232.27,0.02443,N,0,60,Medium
SHP00041,PRJ006,2024-11-13,2024-12-12,2024-12-01T07:00:00,2024-12-01T09:01:40,2024-12-12T04:29:14,2024-12-13T14:19:39,F003,F017,P003,P018,Sea Breakbulk,CAR004,V001,CG008,1,73.89,611.58,48.83,12.73,11.66,Y,Y,N,N,Standard,DAP,6031.8,6161.3,12,33.8,1.41,1-2 days,N,Delivered,Road permit delay,42845.58,2817.99,2846.53,1192.7,49702.79,2240723.91,0.0222,13004.22,0.02856,N,0,50,Medium
SHP00042,PRJ005,2024-12-12,2025-01-14,2025-01-08T10:00:00,2025-01-08T10:48:05,2025-01-16T08:46:49,2025-01-17T04:03:19,F002,F016,P001,P016,Sea Breakbulk,CAR004,V008,CG009,6,19.77,32.68,11.16,2.83,2.95,Y,N,Y,N,Expedite,EXW,3373.9,3378.7,9,19.3,0.8,On time,Y,Delivered,Carrier capacity,12555.08,1204.91,1370.08,837.4,15967.48,185281.62,0.0862,2093.57,0.03134,N,0,61,Medium
SHP00043,PRJ002,2024-02-29,2024-04-09,2024-03-26T09:00:00,2024-03-26T08:42:24,2024-04-02T10:54:06,2024-04-02T06:05:51,F012,F008,P007,P012,Sea Breakbulk,CAR010,V004,CG005,1,26.82,66.95,13.36,3.9,3.61,Y,N,N,N,Standard,EXW,2332.0,2359.7,8,0,0.0,On time,Y,Delivered,None,8455.21,684.78,1220.57,530.63,10891.19,760827.12,0.0143,1540.59,0.02434,Y,27475.2,19,Low
SHP00044,PRJ007,2023-12-27,2024-01-08,2024-01-08T07:00:00,2024-01-08T07:08:42,2024-01-09T05:00:00,2024-01-09T03:30:04,F014,F001,,,Road,CAR002,,CG002,7,17.01,31.7,6.33,3.75,2.48,Y,N,N,N,Standard,DDP,1041.0,1028.9,2,0,0.0,On time,Y,Delivered,None,3774.52,460.48,0,0,4235.0,139921.05,0.0303,1662.65,0.095,N,0,16,Low
SHP00045,PRJ002,2025-08-12,2025-09-24,2025-09-19T11:00:00,2025-09-19T10:33:44,2025-09-22T05:34:21,2025-09-22T09:54:52,F014,F008,P003,P012,RoRo,CAR003,V002,CG004,2,86.29,139.74,21.57,5.92,5.48,Y,Y,N,N,Critical,DDP,477.7,482.9,4,4.3,0.18,On time,Y,Delivered,None,10412.55,1065.02,3113.95,1207.36,15798.89,1648055.85,0.0096,1909.12,0.04582,Y,40296.7,55,Medium
SHP00046,PRJ006,2024-08-22,2024-10-01,2024-09-18T14:00:00,2024-09-18T16:44:07,2024-09-27T14:40:03,2024-09-29T02:58:25,F010,F017,P010,P018,Sea Breakbulk,CAR004,V008,CG003,2,10.96,39.65,11.8,2.98,3.11,Y,N,N,N,Standard,DDP,4368.7,4548.8,10,36.3,1.51,1-2 days,N,Delivered,Port congestion,9489.35,1433.96,1455.94,505.56,12884.8,510318.22,0.0252,1320.16,0.02648,N,0,42,Low
SHP00047,PRJ007,2025-10-16,2025-11-10,2025-11-06T14:00:00,2025-11-06T16:56:22,2025-11-10T18:37:32,2025-11-11T07:58:20,F014,F001,P003,P001,Intermodal,CAR006,,CG002,2,10.52,86.71,16.2,4.34,4.16,Y,N,N,N,Standard,DAP,1087.0,1107.6,5,13.3,0.56,On time,Y,Delivered,Weather disruption,3955.07,390.15,1317.3,0,5662.52,99049.5,0.0572,548.09,0.04704,N,0,39,Low
SHP00048,PRJ006,2025-04-19,2025-05-13,2025-04-28T10:00:00,2025-04-28T12:49:23,2025-05-09T19:03:14,2025-05-10T15:15:05,F003,F017,P003,P018,Sea Breakbulk,CAR010,V014,CG002,7,26.48,30.89,8.02,2.86,2.57,Y,N,N,N,Standard,DDP,6338.4,6301.4,12,20.2,0.84,On time,Y,Delivered,Weather disruption,17274.05,1437.52,1518.96,1036.3,21266.83,228615.83,0.093,4777.75,0.02863,N,0,42,Low
SHP00049,PRJ006,2024-12-21,2025-02-06,2025-01-21T08:00:00,2025-01-21T09:44:09,2025-01-30T06:38:20,2025-01-30T17:40:56,F010,F017,P010,P018,Sea Breakbulk,CAR010,V004,CG005,7,24.86,44.56,14.05,3.8,3.44,Y,N,N,N,Critical,EXW,4945.8,4910.6,10,11.0,0.46,On time,Y,Delivered,None,20641.18,2671.33,1917.31,552.85,25782.67,700767.1,0.0368,3227.63,0.02644,N,0,39,Low
SHP00050,PRJ001,2024-09-08,2024-10-14,2024-10-09T08:00:00,2024-10-09T09:31:15,2024-10-15T07:45:52,2024-10-15T05:48:55,F011,F007,P006,P005,Container Sea,CAR005,V003,CG001,7,6.35,14.65,4.82,1.76,1.43,N,N,N,N,Standard,EXW,2084.3,2108.4,7,0,0.0,On time,Y,Delivered,None,2610.83,185.22,995.19,620.93,4412.16,426672.78,0.0103,254.97,0.01904,N,0,17,Low
SHP00051,PRJ004,2025-01-03,2025-01-25,2025-01-21T09:00:00,2025-01-21T10:11:45,2025-01-26T02:35:14,2025-01-26T20:54:03,F011,F018,P006,P009,Sea Breakbulk,CAR010,V014,CG001,1,7.39,22.48,7.52,2.69,2.39,Y,N,N,N,Critical,EXW,1156.7,1154.9,6,18.3,0.76,1-2 days,N,Delivered,None,8205.32,625.42,1284.99,716.16,10831.88,576894.23,0.0188,245.34,0.02875,N,0,34,Low
SHP00052,PRJ006,2025-01-12,2025-02-15,2025-01-30T15:00:00,2025-01-30T17:57:39,2025-02-09T07:52:26,2025-02-10T03:35:07,F010,F017,P010,P018,Sea Breakbulk,CAR004,V001,CG007,4,10.98,34.83,8.45,3.06,2.57,Y,N,N,N,Standard,FCA,4896.2,4820.2,11,19.7,0.82,On time,Y,Delivered,None,9724.24,921.37,904.42,898.35,12448.37,235540.42,0.0529,1394.25,0.02634,N,0,43,Low
SHP00053,PRJ001,2024-07-31,2024-08-18,2024-08-15T11:00:00,2024-08-15T12:51:27,2024-08-20T01:12:27,2024-08-20T13:46:15,F004,F007,P004,P005,Intermodal,CAR006,,CG002,8,13.02,80.12,14.65,5.17,4.25,Y,N,N,N,Standard,FCA,838.1,856.7,6,12.6,0.52,On time,Y,Delivered,Weather disruption,3016.16,339.46,1140.66,684.51,5180.79,119241.64,0.0434,216.82,0.01944,N,0,31,Low
SHP00054,PRJ007,2025-09-02,2025-10-17,2025-10-10T14:00:00,2025-10-10T13:34:33,2025-10-11T00:00:00,2025-10-10T22:31:07,F002,F001,,,Road,CAR001,,CG010,2,2.37,6.42,4.12,1.18,1.01,N,N,N,N,Critical,EXW,350.7,357.8,2,0,0.0,On time,Y,Delivered,None,1235.6,198.24,0,0,1433.84,308387.18,0.0046,80.56,0.095,N,0,26,Low
SHP00055,PRJ001,2025-06-23,2025-07-30,2025-07-28T14:00:00,2025-07-28T16:09:22,2025-08-01T08:38:34,2025-08-01T11:49:21,F001,F007,P001,P005,Sea Breakbulk,CAR004,V012,CG007,4,10.06,36.24,10.49,3.46,2.75,Y,N,N,N,Expedite,CFR,1124.1,1147.6,5,3.2,0.13,On time,Y,Delivered,None,7301.59,908.76,1389.94,663.95,10264.24,187594.56,0.0547,505.43,0.04378,N,0,30,Low
SHP00056,PRJ006,2024-09-30,2024-11-22,2024-11-07T11:00:00,2024-11-07T10:09:45,2024-11-16T23:46:16,2024-11-17T13:41:07,F012,F017,P007,P018,Sea Breakbulk,CAR010,V004,CG004,2,79.47,163.92,21.73,7.14,5.97,Y,Y,N,N,Standard,DAP,5297.5,5346.0,10,13.9,0.58,On time,Y,Delivered,None,38085.24,5200.16,3094.39,1026.42,47406.2,1658850.17,0.0286,10319.89,0.02429,N,0,54,Medium
