event_id,shipment_id,event_sequence,event_datetime,event_type,event_status,responsible_party,location_reference,notes
EVT00004-01,SHP00004,1,2024-05-11T09:00:00,Booking created,Completed,Forwarder,Antwerp EPC Supplier Yard,
EVT00004-02,SHP00004,2,2024-05-22T11:05:02,Pickup completed,Completed,Carrier,Antwerp EPC Supplier Yard,
EVT00004-03,SHP00004,3,2024-05-22T17:42:35,Origin port gate in,Completed,Port terminal,Antwerp-Bruges,
EVT00004-04,SHP00004,4,2024-05-22T21:41:51,Vessel departed,Completed,Carrier,Antwerp-Bruges,
EVT00004-05,SHP00004,5,2024-05-28T04:53:54,Customs released,Completed,Forwarder,Sines,
EVT00004-06,SHP00004,6,2024-05-28T06:56:29,Destination port arrival,Completed,Port terminal,Sines,
EVT00004-07,SHP00004,7,2024-05-29T17:19:29,Delivery completed,Delayed,Carrier,Sines Energy Project Site,Carrier capacity
EVT00005-01,SHP00005,1,2025-05-28T13:00:00,Booking created,Completed,Forwarder,Madrid Cross Dock,
EVT00005-02,SHP00005,2,2025-06-04T12:39:41,Pickup completed,Completed,Carrier,Madrid Cross Dock,
EVT00005-03,SHP00005,3,2025-06-05T03:02:30,Origin port gate in,Completed,Port terminal,Valencia,
EVT00005-04,SHP00005,4,2025-06-05T07:45:52,Vessel departed,Completed,Carrier,Valencia,
EVT00005-05,SHP00005,5,2025-06-09T14:04:57,Destination port arrival,Completed,Port terminal,Rotterdam,
EVT00005-06,SHP00005,6,2025-06-10T05:04:37,Customs released,Completed,Forwarder,Rotterdam,
EVT00005-07,SHP00005,7,2025-06-10T22:51:39,Delivery completed,Completed,Carrier,Rotterdam Consolidation Hub,
EVT00006-01,SHP00006,1,2025-07-21T15:00:00,Booking created,Completed,Forwarder,Antwerp EPC Supplier Yard,
EVT00006-02,SHP00006,2,2025-08-03T16:38:23,Pickup completed,Completed,Carrier,Antwerp EPC Supplier Yard,
EVT00006-03,SHP00006,3,2025-08-03T22:22:25,Origin port gate in,Completed,Port terminal,Antwerp-Bruges,
EVT00006-04,SHP00006,4,2025-08-04T08:31:19,Vessel departed,Completed,Carrier,Antwerp-Bruges,
EVT00006-05,SHP00006,5,2025-08-09T02:15:55,Destination port arrival,Completed,Port terminal,Casablanca,
EVT00006-06,SHP00006,6,2025-08-09T15:23:32,Customs released,Completed,Forwarder,Casablanca,
EVT00006-07,SHP00006,7,2025-08-10T14:32:24,Delivery completed,Delayed,Carrier,Casablanca Desalination Site,Documentation issue
EVT00007-01,SHP00007,1,2024-01-19T07:00:00,Booking created,Completed,Forwarder,Milan Valve Plant,
EVT00007-02,SHP00007,2,2024-01-25T07:25:39,Pickup completed,Completed,Carrier,Milan Valve Plant,
EVT00007-03,SHP00007,3,2024-01-25T20:24:24,Origin port gate in,Completed,Port terminal,Genoa,
EVT00007-04,SHP00007,4,2024-01-26T07:35:26,Vessel departed,Completed,Carrier,Genoa,
EVT00007-05,SHP00007,5,2024-01-31T00:02:48,Destination port arrival,Completed,Port terminal,Sines,
EVT00007-06,SHP00007,6,2024-01-31T00:03:17,Customs released,Completed,Forwarder,Sines,
EVT00007-07,SHP00007,7,2024-01-31T11:43:25,Delivery completed,Completed,Carrier,Sines Energy Project Site,
EVT00008-01,SHP00008,1,2024-03-08T12:00:00,Booking created,Completed,Forwarder,Milan Valve Plant,
EVT00008-02,SHP00008,2,2024-03-14T13:02:37,Pickup completed,Completed,Carrier,Milan Valve Plant,
EVT00008-03,SHP00008,3,2024-03-14T22:22:17,Origin port gate in,Completed,Port terminal,Genoa,
EVT00008-04,SHP00008,4,2024-03-15T02:51:19,Vessel departed,Completed,Carrier,Genoa,
EVT00008-05,SHP00008,5,2024-03-20T10:25:11,Destination port arrival,Completed,Port terminal,Casablanca,
EVT00008-06,SHP00008,6,2024-03-20T20:32:48,Customs released,Completed,Forwarder,Casablanca,
EVT00008-07,SHP00008,7,2024-03-21T08:38:22,Delivery completed,Delayed,Carrier,Casablanca Desalination Site,Customs hold
EVT00009-01,SHP00009,1,2025-06-23T12:00:00,Booking created,Completed,Forwarder,Cadiz Module Yard,
EVT00009-02,SHP00009,2,2025-07-01T12:54:29,Pickup completed,Completed,Carrier,Cadiz Module Yard,
EVT00009-03,SHP00009,3,2025-07-02T01:03:01,Origin port gate in,Completed,Port terminal,Algeciras,
EVT00009-04,SHP00009,4,2025-07-02T16:53:58,Vessel departed,Completed,Carrier,Algeciras,
EVT00009-05,SHP00009,5,2025-07-09T11:57:10,Destination port arrival,Completed,Port terminal,Alexandria,
EVT00009-06,SHP00009,6,2025-07-09T17:57:57,Customs released,Completed,Forwarder,Alexandria,
EVT00009-07,SHP00009,7,2025-07-10T01:25:26,Delivery completed,Completed,Carrier,Alexandria Water Project Site,
EVT00010-01,SHP00010,1,2025-10-01T15:00:00,Booking created,Completed,Forwarder,Cadiz Module Yard,
EVT00010-02,SHP00010,2,2025-10-08T15:01:18,Pickup completed,Completed,Carrier,Cadiz Module Yard,
EVT00010-03,SHP00010,3,2025-10-09T07:51:37,Origin port gate in,Completed,Port terminal,Algeciras,
EVT00010-04,SHP00010,4,2025-10-10T01:12:30,Vessel departed,Completed,Carrier,Algeciras,
EVT00010-05,SHP00010,5,2025-10-11T06:02:54,Destination port arrival,Completed,Port terminal,Casablanca,
EVT00010-06,SHP00010,6,2025-10-11T16:40:47,Customs released,Completed,Forwarder,Casablanca,
EVT00010-07,SHP00010,7,2025-10-11T22:07:58,Delivery completed,Completed,Carrier,Casablanca Desalination Site,
EVT00011-01,SHP00011,1,2023-12-30T07:00:00,Booking created,Completed,Forwarder,Milan Valve Plant,
EVT00011-02,SHP00011,2,2024-01-04T06:58:36,Pickup completed,Completed,Carrier,Milan Valve Plant,
EVT00011-03,SHP00011,3,2024-01-04T17:43:18,Origin port gate in,Completed,Port terminal,Genoa,
EVT00011-04,SHP00011,4,2024-01-04T22:56:56,Vessel departed,Completed,Carrier,Genoa,
EVT00011-05,SHP00011,5,2024-01-07T07:22:06,Destination port arrival,Completed,Port terminal,Valencia,
EVT00011-06,SHP00011,6,2024-01-07T12:57:16,Customs released,Completed,Forwarder,Valencia,
EVT00011-07,SHP00011,7,2024-01-08T05:45:04,Delivery completed,Completed,Carrier,Zaragoza Distribution Hub,
EVT00012-01,SHP00012,1,2024-12-03T13:00:00,Booking created,Completed,Forwarder,Zaragoza Distribution Hub,
EVT00012-02,SHP00012,2,2024-12-09T13:09:20,Pickup completed,Completed,Carrier,Zaragoza Distribution Hub,
EVT00012-03,SHP00012,3,2024-12-10T02:31:02,Origin port gate in,Completed,Port terminal,Valencia,
EVT00012-04,SHP00012,4,2024-12-10T11:35:30,Vessel departed,Completed,Carrier,Valencia,
EVT00012-05,SHP00012,5,2024-12-12T16:24:25,Destination port arrival,Completed,Port terminal,Casablanca,
EVT00012-06,SHP00012,6,2024-12-12T20:57:11,Customs released,Completed,Forwarder,Casablanca,
EVT00012-07,SHP00012,7,2024-12-13T15:11:02,Delivery completed,Completed,Carrier,Casablanca Desalination Site,
EVT00013-01,SHP00013,1,2024-02-20T07:00:00,Booking created,Completed,Forwarder,Tarragona Equipment Vendor,
EVT00013-02,SHP00013,2,2024-02-26T09:50:00,Pickup completed,Completed,Carrier,Tarragona Equipment Vendor,
EVT00013-03,SHP00013,3,2024-02-26T18:30:35,Origin port gate in,Completed,Port terminal,Barcelona,
EVT00013-04,SHP00013,4,2024-02-27T01:00:08,Vessel departed,Completed,Carrier,Barcelona,
EVT00013-05,SHP00013,5,2024-02-29T19:42:54,Destination port arrival,Completed,Port terminal,Casablanca,
EVT00013-06,SHP00013,6,2024-03-01T03:17:11,Customs released,Completed,Forwarder,Casablanca,
EVT00013-07,SHP00013,7,2024-03-02T00:24:06,Delivery completed,Completed,Carrier,Casablanca Desalination Site,
EVT00014-01,SHP00014,1,2024-08-09T09:00:00,Booking created,Completed,Forwarder,Zaragoza Distribution Hub,
EVT00014-02,SHP00014,2,2024-08-22T10:04:36,Pickup completed,Completed,Carrier,Zaragoza Distribution Hub,
EVT00014-03,SHP00014,3,2024-08-22T19:29:54,Origin port gate in,Completed,Port terminal,Valencia,
EVT00014-04,SHP00014,4,2024-08-23T11:09:32,Vessel departed,Completed,Carrier,Valencia,
EVT00014-05,SHP00014,5,2024-08-29T20:20:28,Destination port arrival,Completed,Port terminal,Alexandria,
EVT00014-06,SHP00014,6,2024-08-30T10:57:16,Customs released,Completed,Forwarder,Alexandria,
EVT00014-07,SHP00014,7,2024-08-30T17:55:20,Delivery completed,Completed,Carrier,Alexandria Water Project Site,
EVT00015-01,SHP00015,1,2025-05-13T08:00:00,Booking created,Completed,Forwarder,Bilbao Steel Fabricator,
EVT00015-02,SHP00015,2,2025-05-20T07:51:01,Pickup completed,Completed,Carrier,Bilbao Steel Fabricator,
EVT00015-03,SHP00015,3,2025-05-20T11:04:39,Origin port gate in,Completed,Port terminal,Bilbao,
EVT00015-04,SHP00015,4,2025-05-20T21:37:36,Vessel departed,Completed,Carrier,Bilbao,
EVT00015-05,SHP00015,5,2025-05-24T06:25:19,Destination port arrival,Completed,Port terminal,Rotterdam,
EVT00015-06,SHP00015,6,2025-05-24T18:18:48,Customs released,Completed,Forwarder,Rotterdam,
EVT00015-07,SHP00015,7,2025-05-25T05:17:14,Delivery completed,Completed,Carrier,Rotterdam Consolidation Hub,
EVT00016-01,SHP00016,1,2025-05-08T12:00:00,Booking created,Completed,Forwarder,Antwerp EPC Supplier Yard,
EVT00016-02,SHP00016,2,2025-05-15T11:34:25,Pickup completed,Completed,Carrier,Antwerp EPC Supplier Yard,
EVT00016-03,SHP00016,3,2025-05-15T18:51:23,Origin port gate in,Completed,Port terminal,Antwerp-Bruges,
EVT00016-04,SHP00016,4,2025-05-16T11:43:44,Vessel departed,Completed,Carrier,Antwerp-Bruges,
EVT00016-05,SHP00016,5,2025-05-25T10:39:57,Destination port arrival,Completed,Port terminal,Dammam,
EVT00016-06,SHP00016,6,2025-05-25T11:25:58,Customs released,Completed,Forwarder,Dammam,
EVT00016-07,SHP00016,7,2025-05-26T00:50:18,Delivery completed,Completed,Carrier,Dammam Gas Project Site,
EVT00017-01,SHP00017,1,2024-08-24T07:00:00,Booking created,Completed,Forwarder,Cadiz Module Yard,
EVT00017-02,SHP00017,2,2024-08-30T07:26:30,Pickup completed,Completed,Carrier,Cadiz Module Yard,
EVT00017-03,SHP00017,3,2024-08-30T11:52:46,Origin port gate in,Completed,Port terminal,Algeciras,
EVT00017-04,SHP00017,4,2024-08-31T03:25:50,Vessel departed,Completed,Carrier,Algeciras,
EVT00017-05,SHP00017,5,2024-09-10T03:01:50,Destination port arrival,Completed,Port terminal,Dammam,
EVT00017-06,SHP00017,6,2024-09-10T15:53:30,Customs released,Completed,Forwarder,Dammam,
EVT00017-07,SHP00017,7,2024-09-11T00:57:59,Delivery completed,Completed,Carrier,Dammam Gas Project Site,
EVT00018-01,SHP00018,1,2025-01-31T09:00:00,Booking created,Completed,Forwarder,Tarragona Equipment Vendor,
EVT00018-02,SHP00018,2,2025-02-11T11:04:12,Pickup completed,Completed,Carrier,Tarragona Equipment Vendor,
EVT00018-03,SHP00018,3,2025-02-12T02:45:52,Origin port gate in,Completed,Port terminal,Barcelona,
EVT00018-04,SHP00018,4,2025-02-12T17:45:28,Vessel departed,Completed,Carrier,Barcelona,
EVT00018-05,SHP00018,5,2025-02-15T22:29:32,Destination port arrival,Completed,Port terminal,Casablanca,
EVT00018-06,SHP00018,6,2025-02-16T09:09:14,Customs released,Completed,Forwarder,Casablanca,
EVT00018-07,SHP00018,7,2025-02-17T21:43:56,Delivery completed,Delayed,Carrier,Casablanca Desalination Site,Road permit delay
EVT00019-01,SHP00019,1,2025-02-26T08:00:00,Booking created,Completed,Forwarder,Rotterdam Consolidation Hub,
EVT00019-02,SHP00019,2,2025-03-03T07:43:20,Pickup completed,Completed,Carrier,Rotterdam Consolidation Hub,
EVT00019-03,SHP00019,3,2025-03-03T13:28:30,Origin port gate in,Completed,Port terminal,Rotterdam,
EVT00019-04,SHP00019,4,2025-03-03T20:04:37,Vessel departed,Completed,Carrier,Rotterdam,
EVT00019-05,SHP00019,5,2025-03-13T05:48:11,Destination port arrival,Completed,Port terminal,Dammam,
EVT00019-06,SHP00019,6,2025-03-13T12:30:28,Customs released,Completed,Forwarder,Dammam,
EVT00019-07,SHP00019,7,2025-03-14T07:16:53,Delivery completed,Delayed,Carrier,Dammam Gas Project Site,Port congestion
EVT00020-01,SHP00020,1,2024-04-26T07:00:00,Booking created,Completed,Forwarder,Antwerp EPC Supplier Yard,
EVT00020-02,SHP00020,2,2024-05-08T06:31:12,Pickup completed,Completed,Carrier,Antwerp EPC Supplier Yard,
EVT00020-03,SHP00020,3,2024-05-08T12:07:53,Origin port gate in,Completed,Port terminal,Antwerp-Bruges,
EVT00020-04,SHP00020,4,2024-05-08T18:11:58,Vessel departed,Completed,Carrier,Antwerp-Bruges,
EVT00020-05,SHP00020,5,2024-05-12T19:31:30,Destination port arrival,Completed,Port terminal,Sines,
EVT00020-06,SHP00020,6,2024-05-12T23:26:57,Customs released,Completed,Forwarder,Sines,
EVT00020-07,SHP00020,7,2024-05-13T16:04:04,Delivery completed,Completed,Carrier,Sines Energy Project Site,
EVT00021-01,SHP00021,1,2025-05-07T07:00:00,Booking created,Completed,Forwarder,Tarragona Equipment Vendor,
EVT00021-02,SHP00021,2,2025-05-19T08:44:27,Pickup completed,Completed,Carrier,Tarragona Equipment Vendor,
EVT00021-03,SHP00021,3,2025-05-19T15:45:17,Origin port gate in,Completed,Port terminal,Barcelona,
EVT00021-04,SHP00021,4,2025-05-20T04:48:22,Vessel departed,Completed,Carrier,Barcelona,
EVT00021-05,SHP00021,5,2025-05-23T07:53:37,Customs released,Completed,Forwarder,Sines,
EVT00021-06,SHP00021,6,2025-05-23T11:46:11,Destination port arrival,Completed,Port terminal,Sines,
EVT00021-07,SHP00021,7,2025-05-23T22:17:50,Delivery completed,Completed,Carrier,Sines Energy Project Site,
EVT00022-01,SHP00022,1,2024-11-08T12:00:00,Booking created,Completed,Forwarder,Valencia Export Depot,
EVT00022-02,SHP00022,2,2024-11-13T14:15:34,Pickup completed,Completed,Carrier,Valencia Export Depot,
EVT00022-03,SHP00022,3,2024-11-13T16:51:10,Origin port gate in,Completed,Port terminal,Valencia,
EVT00022-04,SHP00022,4,2024-11-14T10:33:38,Vessel departed,Completed,Carrier,Valencia,
EVT00022-05,SHP00022,5,2024-11-18T07:52:25,Destination port arrival,Completed,Port terminal,Rotterdam,
EVT00022-06,SHP00022,6,2024-11-18T07:57:11,Customs released,Completed,Forwarder,Rotterdam,
EVT00022-07,SHP00022,7,2024-11-18T23:10:56,Delivery completed,Completed,Carrier,Rotterdam Consolidation Hub,
EVT00023-01,SHP00023,1,2024-01-04T14:00:00,Booking created,Completed,Forwarder,Puertollano Module Yard,
EVT00023-02,SHP00023,2,2024-01-10T13:31:29,Pickup completed,Completed,Carrier,Puertollano Module Yard,
EVT00023-03,SHP00023,3,2024-01-11T15:48:58,Delivery completed,Completed,Carrier,Zaragoza Distribution Hub,
EVT00024-01,SHP00024,1,2025-07-21T13:00:00,Booking created,Completed,Forwarder,Antwerp EPC Supplier Yard,
EVT00024-02,SHP00024,2,2025-07-29T12:12:40,Pickup completed,Completed,Carrier,Antwerp EPC Supplier Yard,
EVT00024-03,SHP00024,3,2025-07-29T17:05:23,Origin port gate in,Completed,Port terminal,Antwerp-Bruges,
EVT00024-04,SHP00024,4,2025-07-30T04:08:50,Vessel departed,Completed,Carrier,Antwerp-Bruges,
EVT00024-05,SHP00024,5,2025-08-09T04:17:06,Destination port arrival,Completed,Port terminal,Dammam,
EVT00024-06,SHP00024,6,2025-08-09T13:32:24,Customs released,Completed,Forwarder,Dammam,
EVT00024-07,SHP00024,7,2025-08-10T02:54:54,Delivery completed,Completed,Carrier,Dammam Gas Project Site,
EVT00025-01,SHP00025,1,2025-02-16T09:00:00,Booking created,Completed,Forwarder,Bilbao Steel Fabricator,
EVT00025-02,SHP00025,2,2025-02-25T11:38:20,Pickup completed,Completed,Carrier,Bilbao Steel Fabricator,
EVT00025-03,SHP00025,3,2025-02-26T01:04:19,Origin port gate in,Completed,Port terminal,Bilbao,
EVT00025-04,SHP00025,4,2025-02-26T11:07:29,Vessel departed,Completed,Carrier,Bilbao,
EVT00025-05,SHP00025,5,2025-03-02T08:17:06,Customs released,Completed,Forwarder,Casablanca,
EVT00025-06,SHP00025,6,2025-03-02T08:19:51,Destination port arrival,Completed,Port terminal,Casablanca,
EVT00025-07,SHP00025,7,2025-03-03T03:24:44,Delivery completed,Completed,Carrier,Casablanca Desalination Site,
EVT00026-01,SHP00026,1,2024-07-02T13:00:00,Booking created,Completed,Forwarder,Milan Valve Plant,
EVT00026-02,SHP00026,2,2024-07-10T12:15:32,Pickup completed,Completed,Carrier,Milan Valve Plant,
EVT00026-03,SHP00026,3,2024-07-12T09:34:48,Delivery completed,Completed,Carrier,Casablanca Desalination Site,
EVT00027-01,SHP00027,1,2025-01-14T12:00:00,Booking created,Completed,Forwarder,Lyon Fabrication Partner,
EVT00027-02,SHP00027,2,2025-01-20T11:23:11,Pickup completed,Completed,Carrier,Lyon Fabrication Partner,
EVT00027-03,SHP00027,3,2025-01-21T13:35:20,Origin port gate in,Completed,Port terminal,Marseille-Fos,
EVT00027-04,SHP00027,4,2025-01-22T03:24:51,Vessel departed,Completed,Carrier,Marseille-Fos,
EVT00027-05,SHP00027,5,2025-01-26T02:44:50,Destination port arrival,Completed,Port terminal,Valencia,
EVT00027-06,SHP00027,6,2025-01-26T15:39:37,Customs released,Completed,Forwarder,Valencia,
EVT00027-07,SHP00027,7,2025-01-27T09:24:43,Delivery completed,Delayed,Carrier,Zaragoza Distribution Hub,Customs hold
EVT00028-01,SHP00028,1,2024-07-28T13:00:00,Booking created,Completed,Forwarder,Rotterdam Consolidation Hub,
EVT00028-02,SHP00028,2,2024-08-06T15:38:42,Pickup completed,Completed,Carrier,Rotterdam Consolidation Hub,
EVT00028-03,SHP00028,3,2024-08-07T00:35:15,Origin port gate in,Completed,Port terminal,Rotterdam,
EVT00028-04,SHP00028,4,2024-08-07T11:21:40,Vessel departed,Completed,Carrier,Rotterdam,
EVT00028-05,SHP00028,5,2024-08-10T19:42:36,Destination port arrival,Completed,Port terminal,Marseille-Fos,
EVT00028-06,SHP00028,6,2024-08-11T05:47:10,Customs released,Completed,Forwarder,Marseille-Fos,
EVT00028-07,SHP00028,7,2024-08-11T22:23:11,Delivery completed,Completed,Carrier,Marseille Wind Substation Site,
EVT00029-01,SHP00029,1,2025-12-20T07:00:00,Booking created,Completed,Forwarder,Bilbao Steel Fabricator,
EVT00029-02,SHP00029,2,2025-12-30T06:17:04,Pickup completed,Completed,Carrier,Bilbao Steel Fabricator,
EVT00029-03,SHP00029,3,2025-12-30T23:15:16,Delivery completed,Completed,Carrier,Zaragoza Distribution Hub,
EVT00030-01,SHP00030,1,2025-02-21T13:00:00,Booking created,Completed,Forwarder,Antwerp EPC Supplier Yard,
EVT00030-02,SHP00030,2,2025-03-06T13:42:10,Pickup completed,Completed,Carrier,Antwerp EPC Supplier Yard,
EVT00030-03,SHP00030,3,2025-03-06T17:43:42,Origin port gate in,Completed,Port terminal,Antwerp-Bruges,
EVT00030-04,SHP00030,4,2025-03-07T03:29:50,Vessel departed,Completed,Carrier,Antwerp-Bruges,
EVT00030-05,SHP00030,5,2025-03-15T23:56:08,Destination port arrival,Completed,Port terminal,Dammam,
EVT00030-06,SHP00030,6,2025-03-16T07:34:39,Customs released,Completed,Forwarder,Dammam,
EVT00030-07,SHP00030,7,2025-03-16T21:51:43,Delivery completed,Completed,Carrier,Dammam Gas Project Site,
EVT00031-01,SHP00031,1,2025-06-29T09:00:00,Booking created,Completed,Forwarder,Cadiz Module Yard,
EVT00031-02,SHP00031,2,2025-07-08T11:09:42,Pickup completed,Completed,Carrier,Cadiz Module Yard,
EVT00031-03,SHP00031,3,2025-07-09T04:21:04,Delivery completed,Completed,Carrier,Sines Energy Project Site,
EVT00032-01,SHP00032,1,2025-07-06T11:00:00,Booking created,Completed,Forwarder,Lyon Fabrication Partner,
EVT00032-02,SHP00032,2,2025-07-15T10:13:49,Pickup completed,Completed,Carrier,Lyon Fabrication Partner,
EVT00032-03,SHP00032,3,2025-07-16T01:57:06,Origin port gate in,Completed,Port terminal,Marseille-Fos,
EVT00032-04,SHP00032,4,2025-07-16T14:50:35,Vessel departed,Completed,Carrier,Marseille-Fos,
EVT00032-05,SHP00032,5,2025-07-20T00:11:56,Destination port arrival,Completed,Port terminal,Sines,
EVT00032-06,SHP00032,6,2025-07-20T00:37:55,Customs released,Completed,Forwarder,Sines,
EVT00032-07,SHP00032,7,2025-07-20T08:28:05,Delivery completed,Completed,Carrier,Sines Energy Project Site,
EVT00033-01,SHP00033,1,2025-05-12T15:00:00,Booking created,Completed,Forwarder,Tangier Free Zone DC,
EVT00033-02,SHP00033,2,2025-05-21T15:54:57,Pickup completed,Completed,Carrier,Tangier Free Zone DC,
EVT00033-03,SHP00033,3,2025-05-22T01:48:18,Origin port gate in,Completed,Port terminal,Tanger Med,
EVT00033-04,SHP00033,4,2025-05-22T06:55:43,Vessel departed,Completed,Carrier,Tanger Med,
EVT00033-05,SHP00033,5,2025-05-25T15:01:01,Destination port arrival,Completed,Port terminal,Valencia,
EVT00033-06,SHP00033,6,2025-05-25T22:49:26,Customs released,Completed,Forwarder,Valencia,
EVT00033-07,SHP00033,7,2025-05-26T16:24:57,Delivery completed,Delayed,Carrier,Zaragoza Distribution Hub,Customs hold
EVT00034-01,SHP00034,1,2025-02-10T15:00:00,Booking created,Completed,Forwarder,Lyon Fabrication Partner,
EVT00034-02,SHP00034,2,2025-02-17T16:03:04,Pickup completed,Completed,Carrier,Lyon Fabrication Partner,
EVT00034-03,SHP00034,3,2025-02-18T14:16:07,Origin port gate in,Completed,Port terminal,Marseille-Fos,
EVT00034-04,SHP00034,4,2025-02-18T22:43:19,Vessel departed,Completed,Carrier,Marseille-Fos,
EVT00034-05,SHP00034,5,2025-02-24T00:25:03,Destination port arrival,Completed,Port terminal,Alexandria,
EVT00034-06,SHP00034,6,2025-02-24T08:40:08,Customs released,Completed,Forwarder,Alexandria,
EVT00034-07,SHP00034,7,2025-02-24T16:38:44,Delivery completed,Delayed,Carrier,Alexandria Water Project Site,Port congestion
EVT00035-01,SHP00035,1,2025-07-31T13:00:00,Booking created,Completed,Forwarder,Antwerp EPC Supplier Yard,
EVT00035-02,SHP00035,2,2025-08-12T15:08:22,Pickup completed,Completed,Carrier,Antwerp EPC Supplier Yard,
EVT00035-03,SHP00035,3,2025-08-13T01:18:40,Origin port gate in,Completed,Port terminal,Antwerp-Bruges,
EVT00035-04,SHP00035,4,2025-08-13T14:00:22,Vessel departed,Completed,Carrier,Antwerp-Bruges,
EVT00035-05,SHP00035,5,2025-08-18T14:36:26,Destination port arrival,Completed,Port terminal,Casablanca,
EVT00035-06,SHP00035,6,2025-08-19T00:11:10,Customs released,Completed,Forwarder,Casablanca,
EVT00035-07,SHP00035,7,2025-08-19T09:17:44,Delivery completed,Completed,Carrier,Casablanca Desalination Site,
EVT00036-01,SHP00036,1,2025-09-18T11:00:00,Booking created,Completed,Forwarder,Lyon Fabrication Partner,
EVT00036-02,SHP00036,2,2025-09-26T12:35:16,Pickup completed,Completed,Carrier,Lyon Fabrication Partner,
EVT00036-03,SHP00036,3,2025-09-27T00:28:57,Origin port gate in,Completed,Port terminal,Marseille-Fos,
EVT00036-04,SHP00036,4,2025-09-27T11:03:51,Vessel departed,Completed,Carrier,Marseille-Fos,
EVT00036-05,SHP00036,5,2025-10-06T02:57:19,Destination port arrival,Completed,Port terminal,Dammam,
EVT00036-06,SHP00036,6,2025-10-06T08:36:14,Customs released,Completed,Forwarder,Dammam,
EVT00036-07,SHP00036,7,2025-10-06T21:29:10,Delivery completed,Delayed,Carrier,Dammam Gas Project Site,Road permit delay
EVT00037-01,SHP00037,1,2025-10-12T13:00:00,Booking created,Completed,Forwarder,Milan Valve Plant,
EVT00037-02,SHP00037,2,2025-10-21T13:00:50,Pickup completed,Completed,Carrier,Milan Valve Plant,
EVT00037-03,SHP00037,3,2025-10-22T03:34:56,Origin port gate in,Completed,Port terminal,Genoa,
EVT00037-04,SHP00037,4,2025-10-22T09:21:50,Vessel departed,Completed,Carrier,Genoa,
EVT00037-05,SHP00037,5,2025-10-27T08:35:08,Destination port arrival,Completed,Port terminal,Casablanca,
EVT00037-06,SHP00037,6,2025-10-27T19:10:51,Customs released,Completed,Forwarder,Casablanca,
EVT00037-07,SHP00037,7,2025-10-28T10:50:42,Delivery completed,Completed,Carrier,Casablanca Desalination Site,
EVT00038-01,SHP00038,1,2025-07-24T10:00:00,Booking created,Completed,Forwarder,Antwerp EPC Supplier Yard,
EVT00038-02,SHP00038,2,2025-08-04T11:20:45,Pickup completed,Completed,Carrier,Antwerp EPC Supplier Yard,
EVT00038-03,SHP00038,3,2025-08-04T19:42:06,Origin port gate in,Completed,Port terminal,Antwerp-Bruges,
EVT00038-04,SHP00038,4,2025-08-05T02:10:12,Vessel departed,Completed,Carrier,Antwerp-Bruges,
EVT00038-05,SHP00038,5,2025-08-10T16:18:57,Destination port arrival,Completed,Port terminal,Alexandria,
