leg_id,shipment_id,leg_sequence,from_node_id,from_node_name,from_node_type,from_country,from_latitude,from_longitude,to_node_id,to_node_name,to_node_type,to_country,to_latitude,to_longitude,mode,carrier_id,vessel_id,planned_departure_datetime,actual_departure_datetime,planned_arrival_datetime,actual_arrival_datetime,planned_distance_km,actual_distance_km,planned_transit_hours,actual_transit_hours,delay_hours,delay_reason,leg_cost_eur,co2e_kg,wkt_linestring
LEG00004-2,SHP00004,2,PORT_P007,Port of Antwerp-Bruges,Port,Belgium,51.2639,4.4009,PORT_P005,Port of Sines,Port,Portugal,37.9543,-8.8631,Sea Breakbulk,CAR004,V001,2024-05-22T20:50:16,2024-05-22T21:41:51,2024-05-27T07:08:16,2024-05-28T06:56:29,1963.7,2004.1,106.3,129.2,22.9,Carrier capacity,7391.94,1429.97,"LINESTRING (4.4009 51.2639, -8.8631 37.9543)"
LEG00004-3,SHP00004,3,PORT_P005,Port of Sines,Port,Portugal,37.9543,-8.8631,FAC_F007,Sines Energy Project Site,Project Site,Portugal,37.956,-8.868,Road,CAR004,V001,2024-05-27T18:46:48,2024-05-28T12:45:36,2024-05-28T03:46:48,2024-05-29T17:19:29,0.6,0.6,9.0,28.6,19.6,Carrier capacity,434.82,1.69,"LINESTRING (-8.8631 37.9543, -8.868 37.956)"
LEG00005-1,SHP00005,1,FAC_F002,Madrid Cross Dock,Cross Dock,Spain,40.4168,-3.7038,PORT_P001,Port of Valencia,Port,Spain,39.461,-0.323,Road,CAR006,,2025-06-04T13:00:00,2025-06-04T12:39:41,2025-06-05T02:30:00,2025-06-05T03:02:30,383.6,385.6,13.5,14.4,0.9,None,1251.36,612.85,"LINESTRING (-3.7038 40.4168, -0.323 39.461)"
LEG00005-2,SHP00005,2,PORT_P001,Port of Valencia,Port,Spain,39.461,-0.323,PORT_P006,Port of Rotterdam,Port,Netherlands,51.947,4.142,Container Sea,CAR006,,2025-06-05T11:36:59,2025-06-05T07:45:52,2025-06-09T18:18:59,2025-06-09T14:04:57,1537.8,1536.4,102.7,102.3,0,None,2000.51,462.67,"LINESTRING (-0.323 39.461, 4.142 51.947)"
LEG00005-3,SHP00005,3,PORT_P006,Port of Rotterdam,Port,Netherlands,51.947,4.142,FAC_F011,Rotterdam Consolidation Hub,Consolidation Hub,Netherlands,51.9244,4.4777,Road,CAR006,,2025-06-10T01:05:48,2025-06-10T07:14:57,2025-06-10T04:59:48,2025-06-10T22:51:39,28.0,28.0,3.9,15.6,11.7,Port congestion,387.63,44.5,"LINESTRING (4.142 51.947, 4.4777 51.9244)"
LEG00006-1,SHP00006,1,FAC_F012,Antwerp EPC Supplier Yard,Vendor,Belgium,51.2194,4.4025,PORT_P007,Port of Antwerp-Bruges,Port,Belgium,51.2639,4.4009,Road,CAR010,V014,2025-08-03T15:00:00,2025-08-03T16:38:23,2025-08-03T19:24:00,2025-08-03T22:22:25,6.3,6.4,4.4,5.7,1.3,None,576.0,17.38,"LINESTRING (4.4025 51.2194, 4.4009 51.2639)"
LEG00006-2,SHP00006,2,PORT_P007,Port of Antwerp-Bruges,Port,Belgium,51.2639,4.4009,PORT_P012,Port of Casablanca,Port,Morocco,33.605,-7.611,Sea Breakbulk,CAR010,V014,2025-08-03T23:25:32,2025-08-04T08:31:19,2025-08-08T19:07:32,2025-08-09T02:15:55,2304.8,2365.7,115.7,113.7,0,None,9903.46,1622.68,"LINESTRING (4.4009 51.2639, -7.611 33.605)"
LEG00006-3,SHP00006,3,PORT_P012,Port of Casablanca,Port,Morocco,33.605,-7.611,FAC_F008,Casablanca Desalination Site,Project Site,Morocco,33.5731,-7.5898,Road,CAR010,V014,2025-08-09T00:17:59,2025-08-09T17:35:38,2025-08-09T03:53:59,2025-08-10T14:32:24,5.4,5.8,3.6,20.9,17.3,Documentation issue,572.62,15.75,"LINESTRING (-7.611 33.605, -7.5898 33.5731)"
LEG00007-1,SHP00007,1,FAC_F010,Milan Valve Plant,Vendor,Italy,45.4642,9.19,PORT_P010,Port of Genoa,Port,Italy,44.41,8.925,Road,CAR007,V005,2024-01-25T07:00:00,2024-01-25T07:25:39,2024-01-25T18:54:00,2024-01-25T20:24:24,138.0,147.7,11.9,13.0,1.1,None,916.24,243.31,"LINESTRING (9.19 45.4642, 8.925 44.41)"
LEG00007-2,SHP00007,2,PORT_P010,Port of Genoa,Port,Italy,44.41,8.925,PORT_P005,Port of Sines,Port,Portugal,37.9543,-8.8631,Sea Breakbulk,CAR007,V005,2024-01-26T07:48:34,2024-01-26T07:35:26,2024-01-30T03:12:34,2024-01-31T00:02:48,1736.6,1800.7,91.4,112.5,21.1,Port congestion,5755.73,749.38,"LINESTRING (8.925 44.41, -8.8631 37.9543)"
LEG00007-3,SHP00007,3,PORT_P005,Port of Sines,Port,Portugal,37.9543,-8.8631,FAC_F007,Sines Energy Project Site,Project Site,Portugal,37.956,-8.868,Road,CAR007,V005,2024-01-30T17:08:42,2024-01-31T04:19:06,2024-01-31T01:44:42,2024-01-31T11:43:25,0.6,0.6,8.6,7.4,0,None,433.97,0.99,"LINESTRING (-8.8631 37.9543, -8.868 37.956)"
LEG00008-1,SHP00008,1,FAC_F010,Milan Valve Plant,Vendor,Italy,45.4642,9.19,PORT_P010,Port of Genoa,Port,Italy,44.41,8.925,Road,CAR006,,2024-03-14T12:00:00,2024-03-14T13:02:37,2024-03-14T21:48:00,2024-03-14T22:22:17,141.8,145.3,9.8,9.3,0,None,775.33,106.15,"LINESTRING (9.19 45.4642, 8.925 44.41)"
LEG00008-2,SHP00008,2,PORT_P010,Port of Genoa,Port,Italy,44.41,8.925,PORT_P012,Port of Casablanca,Port,Morocco,33.605,-7.611,Container Sea,CAR006,,2024-03-15T09:10:27,2024-03-15T02:51:19,2024-03-19T11:34:27,2024-03-20T10:25:11,1907.8,1988.6,98.4,127.6,29.2,Customs hold,2609.49,275.26,"LINESTRING (8.925 44.41, -7.611 33.605)"
LEG00008-3,SHP00008,3,PORT_P012,Port of Casablanca,Port,Morocco,33.605,-7.611,FAC_F008,Casablanca Desalination Site,Project Site,Morocco,33.5731,-7.5898,Road,CAR006,,2024-03-19T19:28:05,2024-03-21T02:42:44,2024-03-20T00:46:05,2024-03-21T08:38:22,5.3,5.3,5.3,5.9,0.6,None,444.52,3.87,"LINESTRING (-7.611 33.605, -7.5898 33.5731)"
LEG00009-1,SHP00009,1,FAC_F014,Cadiz Module Yard,Module Yard,Spain,36.5271,-6.2886,PORT_P003,Port of Algeciras,Port,Spain,36.1324,-5.4479,Road,CAR006,,2025-07-01T12:00:00,2025-07-01T12:54:29,2025-07-01T23:36:00,2025-07-02T01:03:01,104.4,107.4,11.6,12.1,0.5,None,1698.24,613.71,"LINESTRING (-6.2886 36.5271, -5.4479 36.1324)"
LEG00009-2,SHP00009,2,PORT_P003,Port of Algeciras,Port,Spain,36.1324,-5.4479,PORT_P016,Port of Alexandria,Port,Egypt,31.2001,29.9187,Container Sea,CAR006,,2025-07-02T04:38:24,2025-07-02T16:53:58,2025-07-09T01:20:24,2025-07-09T11:57:10,3621.8,3904.2,164.7,163.1,0,None,11673.61,4227.08,"LINESTRING (-5.4479 36.1324, 29.9187 31.2001)"
LEG00009-3,SHP00009,3,PORT_P016,Port of Alexandria,Port,Egypt,31.2001,29.9187,FAC_F016,Alexandria Water Project Site,Project Site,Egypt,31.2001,29.9187,Road,CAR006,,2025-07-09T11:53:56,2025-07-09T19:00:57,2025-07-09T16:41:56,2025-07-10T01:25:26,0.0,0.0,4.8,6.4,1.6,None,576.0,0.0,"LINESTRING (29.9187 31.2001, 29.9187 31.2001)"
LEG00010-1,SHP00010,1,FAC_F014,Cadiz Module Yard,Module Yard,Spain,36.5271,-6.2886,PORT_P003,Port of Algeciras,Port,Spain,36.1324,-5.4479,Road,CAR003,V006,2025-10-08T15:00:00,2025-10-08T15:01:18,2025-10-08T23:24:00,2025-10-09T07:51:37,108.1,115.9,8.4,16.8,8.4,Road permit delay,1606.45,501.97,"LINESTRING (-6.2886 36.5271, -5.4479 36.1324)"
LEG00010-2,SHP00010,2,PORT_P003,Port of Algeciras,Port,Spain,36.1324,-5.4479,PORT_P012,Port of Casablanca,Port,Morocco,33.605,-7.611,RoRo,CAR003,V006,2025-10-09T08:46:21,2025-10-10T01:12:30,2025-10-10T14:46:21,2025-10-11T06:02:54,378.9,405.3,30.0,28.8,0,None,2964.42,554.33,"LINESTRING (-5.4479 36.1324, -7.611 33.605)"
LEG00010-3,SHP00010,3,PORT_P012,Port of Casablanca,Port,Morocco,33.605,-7.611,FAC_F008,Casablanca Desalination Site,Project Site,Morocco,33.5731,-7.5898,Road,CAR003,V006,2025-10-10T23:02:33,2025-10-11T18:55:07,2025-10-11T04:02:33,2025-10-11T22:07:58,5.0,5.3,5.0,3.2,0,None,623.12,22.95,"LINESTRING (-7.611 33.605, -7.5898 33.5731)"
LEG00011-1,SHP00011,1,FAC_F010,Milan Valve Plant,Vendor,Italy,45.4642,9.19,PORT_P010,Port of Genoa,Port,Italy,44.41,8.925,Road,CAR004,V001,2024-01-04T07:00:00,2024-01-04T06:58:36,2024-01-04T18:36:00,2024-01-04T17:43:18,152.1,150.8,11.6,10.7,0,None,953.49,274.06,"LINESTRING (9.19 45.4642, 8.925 44.41)"
LEG00011-2,SHP00011,2,PORT_P010,Port of Genoa,Port,Italy,44.41,8.925,PORT_P001,Port of Valencia,Port,Spain,39.461,-0.323,Sea Breakbulk,CAR004,V001,2024-01-05T06:36:20,2024-01-04T22:56:56,2024-01-07T13:36:20,2024-01-07T07:22:06,981.9,1004.6,55.0,56.4,1.4,None,4730.12,461.23,"LINESTRING (8.925 44.41, -0.323 39.461)"
LEG00011-3,SHP00011,3,PORT_P001,Port of Valencia,Port,Spain,39.461,-0.323,FAC_F001,Zaragoza Distribution Hub,Warehouse,Spain,41.6488,-0.8891,Road,CAR004,V001,2024-01-07T18:52:05,2024-01-07T16:45:19,2024-01-08T07:10:05,2024-01-08T05:45:04,325.5,340.8,12.3,13.0,0.7,None,1610.53,619.35,"LINESTRING (-0.323 39.461, -0.8891 41.6488)"
LEG00012-1,SHP00012,1,FAC_F001,Zaragoza Distribution Hub,Warehouse,Spain,41.6488,-0.8891,PORT_P001,Port of Valencia,Port,Spain,39.461,-0.323,Road,CAR003,V002,2024-12-09T13:00:00,2024-12-09T13:09:20,2024-12-10T00:18:00,2024-12-10T02:31:02,287.7,290.2,11.3,13.4,2.1,Port congestion,766.48,101.18,"LINESTRING (-0.8891 41.6488, -0.323 39.461)"
LEG00012-2,SHP00012,2,PORT_P001,Port of Valencia,Port,Spain,39.461,-0.323,PORT_P012,Port of Casablanca,Port,Morocco,33.605,-7.611,RoRo,CAR003,V002,2024-12-10T11:17:12,2024-12-10T11:35:30,2024-12-12T12:41:12,2024-12-12T16:24:25,1007.8,1007.3,49.4,52.8,3.4,None,1369.14,110.9,"LINESTRING (-0.323 39.461, -7.611 33.605)"
LEG00012-3,SHP00012,3,PORT_P012,Port of Casablanca,Port,Morocco,33.605,-7.611,FAC_F008,Casablanca Desalination Site,Project Site,Morocco,33.5731,-7.5898,Road,CAR003,V002,2024-12-13T01:13:32,2024-12-12T23:36:24,2024-12-13T09:25:32,2024-12-13T15:11:02,5.3,5.3,8.2,15.6,7.4,Port congestion,328.15,1.85,"LINESTRING (-7.611 33.605, -7.5898 33.5731)"
LEG00013-1,SHP00013,1,FAC_F005,Tarragona Equipment Vendor,Vendor,Spain,41.1189,1.2445,PORT_P002,Port of Barcelona,Port,Spain,41.3522,2.1686,Road,CAR003,V002,2024-02-26T07:00:00,2024-02-26T09:50:00,2024-02-26T13:24:00,2024-02-26T18:30:35,104.7,110.2,6.4,8.7,2.3,None,679.66,53.18,"LINESTRING (1.2445 41.1189, 2.1686 41.3522)"
LEG00013-2,SHP00013,2,PORT_P002,Port of Barcelona,Port,Spain,41.3522,2.1686,PORT_P012,Port of Casablanca,Port,Morocco,33.605,-7.611,RoRo,CAR003,V002,2024-02-27T04:17:58,2024-02-27T01:00:08,2024-02-29T22:59:58,2024-02-29T19:42:54,1273.2,1265.1,66.7,66.7,0.0,None,2117.93,192.8,"LINESTRING (2.1686 41.3522, -7.611 33.605)"
LEG00013-3,SHP00013,3,PORT_P012,Port of Casablanca,Port,Morocco,33.605,-7.611,FAC_F008,Casablanca Desalination Site,Project Site,Morocco,33.5731,-7.5898,Road,CAR003,V002,2024-03-01T09:45:25,2024-03-01T11:12:53,2024-03-01T19:39:25,2024-03-02T00:24:06,4.8,4.8,9.9,13.2,3.3,None,442.79,2.32,"LINESTRING (-7.611 33.605, -7.5898 33.5731)"
LEG00014-1,SHP00014,1,FAC_F001,Zaragoza Distribution Hub,Warehouse,Spain,41.6488,-0.8891,PORT_P001,Port of Valencia,Port,Spain,39.461,-0.323,Road,CAR004,V001,2024-08-22T09:00:00,2024-08-22T10:04:36,2024-08-22T17:00:00,2024-08-22T19:29:54,308.2,324.5,8.0,9.4,1.4,None,984.86,357.6,"LINESTRING (-0.8891 41.6488, -0.323 39.461)"
LEG00014-2,SHP00014,2,PORT_P001,Port of Valencia,Port,Spain,39.461,-0.323,PORT_P016,Port of Alexandria,Port,Egypt,31.2001,29.9187,Sea Breakbulk,CAR004,V001,2024-08-23T03:37:41,2024-08-23T11:09:32,2024-08-29T13:37:41,2024-08-29T20:20:28,3207.1,3333.8,154.0,153.2,0,None,5232.31,928.13,"LINESTRING (-0.323 39.461, 29.9187 31.2001)"
LEG00014-3,SHP00014,3,PORT_P016,Port of Alexandria,Port,Egypt,31.2001,29.9187,FAC_F016,Alexandria Water Project Site,Project Site,Egypt,31.2001,29.9187,Road,CAR004,V001,2024-08-29T21:29:18,2024-08-30T13:37:54,2024-08-30T01:53:18,2024-08-30T17:55:20,0.0,0.0,4.4,4.3,0,None,320.0,0.0,"LINESTRING (29.9187 31.2001, 29.9187 31.2001)"
LEG00015-1,SHP00015,1,FAC_F004,Bilbao Steel Fabricator,Vendor,Spain,43.263,-2.935,PORT_P004,Port of Bilbao,Port,Spain,43.3476,-3.0443,Road,CAR004,V001,2025-05-20T08:00:00,2025-05-20T07:51:01,2025-05-20T13:12:00,2025-05-20T11:04:39,16.5,17.7,5.2,3.2,0,None,699.3,59.31,"LINESTRING (-2.935 43.263, -3.0443 43.3476)"
LEG00015-2,SHP00015,2,PORT_P004,Port of Bilbao,Port,Spain,43.3476,-3.0443,PORT_P006,Port of Rotterdam,Port,Netherlands,51.947,4.142,Sea Breakbulk,CAR004,V001,2025-05-20T23:37:58,2025-05-20T21:37:36,2025-05-24T04:55:58,2025-05-24T06:25:19,1209.4,1243.6,77.3,80.8,3.5,None,8176.98,1052.68,"LINESTRING (-3.0443 43.3476, 4.142 51.947)"
LEG00015-3,SHP00015,3,PORT_P006,Port of Rotterdam,Port,Netherlands,51.947,4.142,FAC_F011,Rotterdam Consolidation Hub,Consolidation Hub,Netherlands,51.9244,4.4777,Road,CAR004,V001,2025-05-24T12:14:43,2025-05-24T21:51:09,2025-05-24T19:44:43,2025-05-25T05:17:14,27.3,28.4,7.5,7.4,0,None,773.84,95.16,"LINESTRING (4.142 51.947, 4.4777 51.9244)"
LEG00016-1,SHP00016,1,FAC_F012,Antwerp EPC Supplier Yard,Vendor,Belgium,51.2194,4.4025,PORT_P007,Port of Antwerp-Bruges,Port,Belgium,51.2639,4.4009,Road,CAR005,V003,2025-05-15T12:00:00,2025-05-15T11:34:25,2025-05-15T18:12:00,2025-05-15T18:51:23,6.3,6.4,6.2,7.3,1.1,None,331.37,4.8,"LINESTRING (4.4025 51.2194, 4.4009 51.2639)"
LEG00016-2,SHP00016,2,PORT_P007,Port of Antwerp-Bruges,Port,Belgium,51.2639,4.4009,PORT_P018,Port of Dammam,Port,Saudi Arabia,26.498,50.184,Container Sea,CAR005,V003,2025-05-16T01:51:02,2025-05-16T11:43:44,2025-05-25T00:03:02,2025-05-25T10:39:57,4916.4,5157.0,214.2,214.9,0.7,None,3212.45,733.33,"LINESTRING (4.4009 51.2639, 50.184 26.498)"
LEG00016-3,SHP00016,3,PORT_P018,Port of Dammam,Port,Saudi Arabia,26.498,50.184,FAC_F017,Dammam Gas Project Site,Project Site,Saudi Arabia,26.4207,50.0888,Road,CAR005,V003,2025-05-25T05:12:51,2025-05-25T17:51:41,2025-05-25T12:00:51,2025-05-26T00:50:18,14.6,15.7,6.8,7.0,0.2,None,347.9,11.78,"LINESTRING (50.184 26.498, 50.0888 26.4207)"
LEG00017-1,SHP00017,1,FAC_F014,Cadiz Module Yard,Module Yard,Spain,36.5271,-6.2886,PORT_P003,Port of Algeciras,Port,Spain,36.1324,-5.4479,Road,CAR004,V001,2024-08-30T07:00:00,2024-08-30T07:26:30,2024-08-30T13:00:00,2024-08-30T11:52:46,114.1,113.0,6.0,4.4,0,None,1627.67,407.18,"LINESTRING (-6.2886 36.5271, -5.4479 36.1324)"
LEG00017-2,SHP00017,2,PORT_P003,Port of Algeciras,Port,Spain,36.1324,-5.4479,PORT_P018,Port of Dammam,Port,Saudi Arabia,26.498,50.184,Sea Breakbulk,CAR004,V001,2024-08-30T17:03:33,2024-08-31T03:25:50,2024-09-09T15:03:33,2024-09-10T03:01:50,5492.8,5691.3,238.0,239.6,1.6,None,26589.36,5180.9,"LINESTRING (-5.4479 36.1324, 50.184 26.498)"
LEG00017-3,SHP00017,3,PORT_P018,Port of Dammam,Port,Saudi Arabia,26.498,50.184,FAC_F017,Dammam Gas Project Site,Project Site,Saudi Arabia,26.4207,50.0888,Road,CAR004,V001,2024-09-10T06:48:21,2024-09-10T17:09:07,2024-09-10T13:12:21,2024-09-11T00:57:59,16.7,17.6,6.4,7.8,1.4,None,818.82,63.42,"LINESTRING (50.184 26.498, 50.0888 26.4207)"
LEG00018-1,SHP00018,1,FAC_F005,Tarragona Equipment Vendor,Vendor,Spain,41.1189,1.2445,PORT_P002,Port of Barcelona,Port,Spain,41.3522,2.1686,Road,CAR007,V005,2025-02-11T09:00:00,2025-02-11T11:04:12,2025-02-11T17:30:00,2025-02-12T02:45:52,95.3,95.8,8.5,15.7,7.2,Road permit delay,481.72,55.33,"LINESTRING (1.2445 41.1189, 2.1686 41.3522)"
LEG00018-2,SHP00018,2,PORT_P002,Port of Barcelona,Port,Spain,41.3522,2.1686,PORT_P012,Port of Casablanca,Port,Morocco,33.605,-7.611,Sea Breakbulk,CAR007,V005,2025-02-12T06:45:21,2025-02-12T17:45:28,2025-02-15T07:57:21,2025-02-15T22:29:32,1309.4,1394.1,73.2,76.7,3.5,None,3336.2,203.43,"LINESTRING (2.1686 41.3522, -7.611 33.605)"
LEG00018-3,SHP00018,3,PORT_P012,Port of Casablanca,Port,Morocco,33.605,-7.611,FAC_F008,Casablanca Desalination Site,Project Site,Morocco,33.5731,-7.5898,Road,CAR007,V005,2025-02-15T22:26:19,2025-02-16T12:52:25,2025-02-16T06:56:19,2025-02-17T21:43:56,4.6,4.9,8.5,32.9,24.4,Carrier capacity,328.27,2.83,"LINESTRING (-7.611 33.605, -7.5898 33.5731)"
LEG00019-1,SHP00019,1,FAC_F011,Rotterdam Consolidation Hub,Consolidation Hub,Netherlands,51.9244,4.4777,PORT_P006,Port of Rotterdam,Port,Netherlands,51.947,4.142,Road,CAR004,V008,2025-03-03T08:00:00,2025-03-03T07:43:20,2025-03-03T13:06:00,2025-03-03T13:28:30,26.0,27.1,5.1,5.8,0.7,None,553.19,4.61,"LINESTRING (4.4777 51.9244, 4.142 51.947)"
LEG00019-2,SHP00019,2,PORT_P006,Port of Rotterdam,Port,Netherlands,51.947,4.142,PORT_P018,Port of Dammam,Port,Saudi Arabia,26.498,50.184,Sea Breakbulk,CAR004,V008,2025-03-03T19:12:18,2025-03-03T20:04:37,2025-03-12T10:48:18,2025-03-13T05:48:11,5054.3,5417.3,207.6,225.7,18.1,Port congestion,8032.72,232.73,"LINESTRING (4.142 51.947, 50.184 26.498)"
LEG00019-3,SHP00019,3,PORT_P018,Port of Dammam,Port,Saudi Arabia,26.498,50.184,FAC_F017,Dammam Gas Project Site,Project Site,Saudi Arabia,26.4207,50.0888,Road,CAR004,V008,2025-03-12T18:43:25,2025-03-13T18:39:40,2025-03-13T03:31:25,2025-03-14T07:16:53,15.8,16.0,8.8,12.6,3.8,None,529.77,2.72,"LINESTRING (50.184 26.498, 50.0888 26.4207)"
LEG00020-1,SHP00020,1,FAC_F012,Antwerp EPC Supplier Yard,Vendor,Belgium,51.2194,4.4025,PORT_P007,Port of Antwerp-Bruges,Port,Belgium,51.2639,4.4009,Road,CAR004,V012,2024-05-08T07:00:00,2024-05-08T06:31:12,2024-05-08T10:30:00,2024-05-08T12:07:53,5.6,5.6,3.5,5.6,2.1,None,459.19,16.62,"LINESTRING (4.4025 51.2194, 4.4009 51.2639)"
LEG00020-2,SHP00020,2,PORT_P007,Port of Antwerp-Bruges,Port,Belgium,51.2639,4.4009,PORT_P005,Port of Sines,Port,Portugal,37.9543,-8.8631,Sea Breakbulk,CAR004,V012,2024-05-08T23:44:01,2024-05-08T18:11:58,2024-05-12T22:44:01,2024-05-12T19:31:30,1983.7,2054.9,95.0,97.3,2.3,None,7652.47,1540.68,"LINESTRING (4.4009 51.2639, -8.8631 37.9543)"
LEG00020-3,SHP00020,3,PORT_P005,Port of Sines,Port,Portugal,37.9543,-8.8631,FAC_F007,Sines Energy Project Site,Project Site,Portugal,37.956,-8.868,Road,CAR004,V012,2024-05-13T10:16:45,2024-05-13T03:37:31,2024-05-13T19:52:45,2024-05-13T16:04:04,0.6,0.6,9.6,12.4,2.8,Customs hold,434.91,1.78,"LINESTRING (-8.8631 37.9543, -8.868 37.956)"
LEG00021-1,SHP00021,1,FAC_F005,Tarragona Equipment Vendor,Vendor,Spain,41.1189,1.2445,PORT_P002,Port of Barcelona,Port,Spain,41.3522,2.1686,Road,CAR007,V011,2025-05-19T07:00:00,2025-05-19T08:44:27,2025-05-19T14:54:00,2025-05-19T15:45:17,94.1,95.2,7.9,7.0,0,None,1085.06,262.55,"LINESTRING (1.2445 41.1189, 2.1686 41.3522)"
LEG00021-2,SHP00021,2,PORT_P002,Port of Barcelona,Port,Spain,41.3522,2.1686,PORT_P005,Port of Sines,Port,Portugal,37.9543,-8.8631,Sea Breakbulk,CAR007,V011,2025-05-20T01:44:56,2025-05-20T04:48:22,2025-05-22T18:38:56,2025-05-23T11:46:11,1086.0,1138.7,64.9,79.0,14.1,Customs hold,6920.74,793.36,"LINESTRING (2.1686 41.3522, -8.8631 37.9543)"
LEG00021-3,SHP00021,3,PORT_P005,Port of Sines,Port,Portugal,37.9543,-8.8631,FAC_F007,Sines Energy Project Site,Project Site,Portugal,37.956,-8.868,Road,CAR007,V011,2025-05-23T02:35:36,2025-05-23T15:19:47,2025-05-23T07:53:36,2025-05-23T22:17:50,0.6,0.6,5.3,7.0,1.7,None,543.44,1.65,"LINESTRING (-8.8631 37.9543, -8.868 37.956)"
