port_month_id,month_start,port_id,congestion_index,congestion_level,avg_vessel_wait_hours,berth_utilization_pct,customs_clearance_avg_days,strike_flag
P005-2024-09,2024-09-01,P005,30,Low,3.0,58.3,1.42,N
P005-2024-10,2024-10-01,P005,31,Low,9.8,70.6,1.25,N
P005-2024-11,2024-11-01,P005,37,Low,5.6,71.9,1.17,N
P005-2024-12,2024-12-01,P005,33,Low,7.8,65.1,1.21,N
P005-2025-01,2025-01-01,P005,30,Low,9.6,63.7,1.69,N
P005-2025-02,2025-02-01,P005,31,Low,6.9,63.0,0.79,N
P005-2025-03,2025-03-01,P005,37,Low,7.9,64.5,1.34,N
P005-2025-04,2025-04-01,P005,29,Low,5.8,67.5,1.32,N
P005-2025-05,2025-05-01,P005,44,Low,11.8,76.9,2.03,N
P005-2025-06,2025-06-01,P005,26,Low,8.6,62.4,1.3,N
P005-2025-07,2025-07-01,P005,31,Low,10.7,73.1,1.62,N
P005-2025-08,2025-08-01,P005,35,Low,9.4,66.1,0.92,N
P005-2025-09,2025-09-01,P005,32,Low,3.9,67.3,0.69,N
P005-2025-10,2025-10-01,P005,44,Low,14.3,73.5,1.49,N
P005-2025-11,2025-11-01,P005,43,Low,12.4,74.0,1.03,N
P005-2025-12,2025-12-01,P005,42,Low,6.1,71.3,1.47,N
P006-2024-01,2024-01-01,P006,44,Low,14.1,71.4,1.55,N
P006-2024-02,2024-02-01,P006,28,Low,9.9,49.5,0.83,N
P006-2024-03,2024-03-01,P006,24,Low,8.9,59.9,1.17,N
P006-2024-04,2024-04-01,P006,27,Low,4.3,58.8,1.02,N
P006-2024-05,2024-05-01,P006,38,Low,6.0,64.4,0.9,N
P006-2024-06,2024-06-01,P006,35,Low,6.4,69.1,1.07,N
P006-2024-07,2024-07-01,P006,29,Low,7.5,61.9,0.9,N
P006-2024-08,2024-08-01,P006,29,Low,8.4,69.7,1.17,N
P006-2024-09,2024-09-01,P006,24,Low,5.0,62.0,1.13,N
P006-2024-10,2024-10-01,P006,33,Low,7.0,63.1,1.27,N
P006-2024-11,2024-11-01,P006,36,Low,7.2,67.7,1.17,N
P006-2024-12,2024-12-01,P006,38,Low,9.6,69.0,1.37,N
P006-2025-01,2025-01-01,P006,36,Low,6.8,66.8,1.72,N
P006-2025-02,2025-02-01,P006,24,Low,2.1,62.6,1.11,N
P006-2025-03,2025-03-01,P006,25,Low,7.8,68.6,0.89,N
P006-2025-04,2025-04-01,P006,35,Low,8.3,73.1,1.14,N
P006-2025-05,2025-05-01,P006,26,Low,5.5,62.9,0.99,N
P006-2025-06,2025-06-01,P006,19,Low,5.4,61.8,0.43,N
P006-2025-07,2025-07-01,P006,21,Low,4.6,55.4,0.53,N
P006-2025-08,2025-08-01,P006,17,Low,6.3,56.3,0.75,N
P006-2025-09,2025-09-01,P006,24,Low,6.1,62.8,0.88,N
P006-2025-10,2025-10-01,P006,18,Low,5.0,55.3,0.96,N
P006-2025-11,2025-11-01,P006,36,Low,13.8,70.6,1.11,N
P006-2025-12,2025-12-01,P006,31,Low,11.6,72.9,0.72,N
P007-2024-01,2024-01-01,P007,46,Medium,12.8,75.0,1.38,N
P007-2024-02,2024-02-01,P007,48,Medium,11.9,74.5,1.41,N
P007-2024-03,2024-03-01,P007,34,Low,10.4,62.3,1.02,N
P007-2024-04,2024-04-01,P007,31,Low,12.8,69.3,1.09,N
P007-2024-05,2024-05-01,P007,24,Low,3.0,56.0,1.35,N
P007-2024-06,2024-06-01,P007,13,Low,5.5,54.9,0.86,N
P007-2024-07,2024-07-01,P007,25,Low,6.2,62.5,0.73,N
P007-2024-08,2024-08-01,P007,8,Low,3.3,46.4,1.01,N
P007-2024-09,2024-09-01,P007,29,Low,5.7,68.0,1.23,N
P007-2024-10,2024-10-01,P007,35,Low,5.8,66.4,1.68,N
P007-2024-11,2024-11-01,P007,35,Low,7.8,64.7,1.06,N
P007-2024-12,2024-12-01,P007,39,Low,5.6,72.4,1.16,N
P007-2025-01,2025-01-01,P007,27,Low,6.6,66.1,0.92,N
P007-2025-02,2025-02-01,P007,34,Low,8.9,68.8,1.28,N
P007-2025-03,2025-03-01,P007,15,Low,4.7,56.5,1.17,N
P007-2025-04,2025-04-01,P007,19,Low,7.7,55.5,1.01,N
P007-2025-05,2025-05-01,P007,30,Low,8.1,67.9,1.31,N
P007-2025-06,2025-06-01,P007,23,Low,6.2,66.6,0.6,N
P007-2025-07,2025-07-01,P007,16,Low,6.3,51.6,0.82,N
P007-2025-08,2025-08-01,P007,25,Low,6.6,62.9,0.65,N
P007-2025-09,2025-09-01,P007,18,Low,6.7,51.5,1.01,N
P007-2025-10,2025-10-01,P007,26,Low,5.1,64.1,0.2,N
P007-2025-11,2025-11-01,P007,21,Low,4.8,56.3,1.09,N
P007-2025-12,2025-12-01,P007,36,Low,10.9,69.1,1.56,N
P008-2024-01,2024-01-01,P008,51,Medium,13.6,78.4,1.42,N
P008-2024-02,2024-02-01,P008,41,Low,8.5,67.2,1.23,N
P008-2024-03,2024-03-01,P008,41,Low,6.8,71.4,1.16,N
P008-2024-04,2024-04-01,P008,37,Low,9.4,68.3,1.06,N
P008-2024-05,2024-05-01,P008,40,Low,10.0,77.2,1.36,N
P008-2024-06,2024-06-01,P008,30,Low,9.6,64.7,1.0,N
P008-2024-07,2024-07-01,P008,21,Low,2.1,55.4,1.04,N
P008-2024-08,2024-08-01,P008,39,Low,7.1,74.7,1.37,N
P008-2024-09,2024-09-01,P008,35,Low,9.9,73.3,1.16,N
P008-2024-10,2024-10-01,P008,29,Low,11.5,65.7,1.35,N
P008-2024-11,2024-11-01,P008,31,Low,5.1,61.9,1.07,N
P008-2024-12,2024-12-01,P008,30,Low,5.6,71.5,1.1,N
P008-2025-01,2025-01-01,P008,44,Low,8.6,64.3,1.1,N
P008-2025-02,2025-02-01,P008,37,Low,8.6,70.9,1.48,N
P008-2025-03,2025-03-01,P008,10,Low,3.7,50.1,0.86,N
P008-2025-04,2025-04-01,P008,39,Low,9.4,69.0,1.4,N
P008-2025-05,2025-05-01,P008,21,Low,7.0,60.4,0.6,N
P008-2025-06,2025-06-01,P008,25,Low,10.8,55.1,1.45,N
P008-2025-07,2025-07-01,P008,26,Low,8.3,63.1,0.81,N
P008-2025-08,2025-08-01,P008,34,Low,10.5,70.9,1.48,N
P008-2025-09,2025-09-01,P008,18,Low,8.3,58.1,0.67,N
P008-2025-10,2025-10-01,P008,36,Low,8.7,69.0,1.48,N
P008-2025-11,2025-11-01,P008,37,Low,7.4,70.1,1.12,N
P008-2025-12,2025-12-01,P008,29,Low,8.3,60.4,1.47,N
P009-2024-01,2024-01-01,P009,38,Low,9.8,69.2,1.19,N
P009-2024-02,2024-02-01,P009,40,Low,8.4,73.4,0.92,N
P009-2024-03,2024-03-01,P009,39,Low,11.7,71.3,0.6,N
P009-2024-04,2024-04-01,P009,66,Medium,15.2,83.8,1.63,N
P009-2024-05,2024-05-01,P009,48,Medium,12.4,71.1,1.08,N
P009-2024-06,2024-06-01,P009,47,Medium,5.1,72.4,1.34,N
P009-2024-07,2024-07-01,P009,52,Medium,10.3,78.4,1.76,N
P009-2024-08,2024-08-01,P009,50,Medium,11.5,75.7,1.4,N
P009-2024-09,2024-09-01,P009,60,Medium,11.2,85.7,1.76,N
P009-2024-10,2024-10-01,P009,57,Medium,16.6,79.0,1.29,N
P009-2024-11,2024-11-01,P009,34,Low,11.2,67.2,0.99,N
P009-2024-12,2024-12-01,P009,51,Medium,8.2,78.3,1.27,N
P009-2025-01,2025-01-01,P009,35,Low,6.9,63.8,0.94,N
P009-2025-02,2025-02-01,P009,41,Low,6.6,68.5,0.95,N
P009-2025-03,2025-03-01,P009,54,Medium,13.7,75.5,1.45,Y
P009-2025-04,2025-04-01,P009,64,Medium,10.4,84.8,1.79,Y
P009-2025-05,2025-05-01,P009,36,Low,6.8,71.7,0.91,N
P009-2025-06,2025-06-01,P009,40,Low,8.0,75.5,1.24,N
P009-2025-07,2025-07-01,P009,58,Medium,13.7,80.4,1.82,N
P009-2025-08,2025-08-01,P009,63,Medium,13.5,83.9,1.45,N
P009-2025-09,2025-09-01,P009,69,Medium,15.0,91.6,1.7,N
P009-2025-10,2025-10-01,P009,39,Low,9.3,73.3,1.71,N
P009-2025-11,2025-11-01,P009,40,Low,7.8,69.4,1.64,N
P009-2025-12,2025-12-01,P009,34,Low,4.9,70.1,0.88,N
P010-2024-01,2024-01-01,P010,45,Medium,10.9,72.5,1.44,N
P010-2024-02,2024-02-01,P010,41,Low,8.2,70.8,1.47,N
P010-2024-03,2024-03-01,P010,44,Low,6.6,70.7,1.21,N
P010-2024-04,2024-04-01,P010,54,Medium,11.7,79.3,1.14,N
P010-2024-05,2024-05-01,P010,49,Medium,13.6,74.3,1.8,N
P010-2024-06,2024-06-01,P010,37,Low,4.0,58.4,1.2,N
P010-2024-07,2024-07-01,P010,64,Medium,12.4,88.1,1.81,N
P010-2024-08,2024-08-01,P010,53,Medium,10.2,78.4,1.71,N
P010-2024-09,2024-09-01,P010,60,Medium,12.1,81.9,1.36,N
P010-2024-10,2024-10-01,P010,37,Low,7.6,68.2,1.32,N
P010-2024-11,2024-11-01,P010,58,Medium,11.6,79.8,1.1,N
P010-2024-12,2024-12-01,P010,48,Medium,9.6,77.4,1.49,N
P010-2025-01,2025-01-01,P010,52,Medium,11.9,74.7,1.14,N
P010-2025-02,2025-02-01,P010,46,Medium,8.3,73.1,1.5,N
P010-2025-03,2025-03-01,P010,53,Medium,9.0,83.7,1.62,N
P010-2025-04,2025-04-01,P010,48,Medium,8.1,71.3,1.64,N
P010-2025-05,2025-05-01,P010,36,Low,8.3,68.9,1.39,N
P010-2025-06,2025-06-01,P010,36,Low,9.1,67.8,1.3,N
P010-2025-07,2025-07-01,P010,57,Medium,9.2,77.3,1.12,N
P010-2025-08,2025-08-01,P010,60,Medium,13.4,72.9,1.66,N
P010-2025-09,2025-09-01,P010,63,Medium,11.8,89.1,1.78,N
P010-2025-10,2025-10-01,P010,36,Low,7.9,66.8,1.19,N
P010-2025-11,2025-11-01,P010,50,Medium,12.7,63.1,1.66,N
P010-2025-12,2025-12-01,P010,33,Low,7.4,63.3,1.17,N
P011-2024-01,2024-01-01,P011,51,Medium,13.0,81.4,1.92,N
P011-2024-02,2024-02-01,P011,36,Low,10.4,61.4,1.28,N
P011-2024-03,2024-03-01,P011,56,Medium,11.8,78.6,1.03,N
P011-2024-04,2024-04-01,P011,37,Low,9.5,71.0,1.24,N
P011-2024-05,2024-05-01,P011,42,Low,9.4,71.1,1.38,N
P011-2024-06,2024-06-01,P011,49,Medium,8.9,71.7,1.14,N
P011-2024-07,2024-07-01,P011,45,Medium,10.7,79.0,1.45,N
P011-2024-08,2024-08-01,P011,63,Medium,15.6,80.7,1.5,N
P011-2024-09,2024-09-01,P011,51,Medium,8.4,70.2,1.47,N
P011-2024-10,2024-10-01,P011,38,Low,9.9,60.8,1.34,N
P011-2024-11,2024-11-01,P011,33,Low,5.0,67.8,1.55,N
P011-2024-12,2024-12-01,P011,44,Low,12.1,64.3,1.48,N
P011-2025-01,2025-01-01,P011,47,Medium,10.8,74.6,1.0,N
P011-2025-02,2025-02-01,P011,31,Low,10.5,73.9,1.34,N
P011-2025-03,2025-03-01,P011,47,Medium,5.9,69.6,1.57,N
P011-2025-04,2025-04-01,P011,53,Medium,7.5,76.8,1.22,N
P011-2025-05,2025-05-01,P011,33,Low,10.7,63.2,0.98,N
P011-2025-06,2025-06-01,P011,43,Low,12.8,73.8,1.22,N
P011-2025-07,2025-07-01,P011,50,Medium,12.2,69.4,1.57,N
P011-2025-08,2025-08-01,P011,52,Medium,9.8,76.1,0.69,N
P011-2025-09,2025-09-01,P011,57,Medium,10.6,83.2,1.42,N
P011-2025-10,2025-10-01,P011,44,Low,12.3,71.1,1.61,N
P011-2025-11,2025-11-01,P011,47,Medium,9.3,68.6,1.65,N
P011-2025-12,2025-12-01,P011,34,Low,6.3,67.0,1.25,N
P012-2024-01,2024-01-01,P012,51,Medium,12.0,83.3,1.08,N
P012-2024-02,2024-02-01,P012,43,Low,7.7,77.8,0.93,N
P012-2024-03,2024-03-01,P012,60,Medium,13.5,78.3,1.47,N
P012-2024-04,2024-04-01,P012,74,Medium,17.0,89.3,2.01,N
P012-2024-05,2024-05-01,P012,69,Medium,15.6,85.1,1.37,N
P012-2024-06,2024-06-01,P012,53,Medium,5.0,76.2,1.25,N
P012-2024-07,2024-07-01,P012,68,Medium,14.3,86.3,1.45,N
P012-2024-08,2024-08-01,P012,75,High,14.4,84.1,1.94,N
P012-2024-09,2024-09-01,P012,65,Medium,11.4,87.4,1.55,N
P012-2024-10,2024-10-01,P012,52,Medium,9.1,69.3,1.22,N
P012-2024-11,2024-11-01,P012,63,Medium,10.6,74.3,1.66,N
P012-2024-12,2024-12-01,P012,60,Medium,14.0,82.2,1.9,N
P012-2025-01,2025-01-01,P012,65,Medium,14.1,85.8,1.88,N
P012-2025-02,2025-02-01,P012,65,Medium,16.4,80.3,2.0,N
P012-2025-03,2025-03-01,P012,71,Medium,14.8,81.9,1.76,N
P012-2025-04,2025-04-01,P012,48,Medium,10.4,71.6,1.23,N
P012-2025-05,2025-05-01,P012,59,Medium,10.9,69.6,1.08,N
P012-2025-06,2025-06-01,P012,57,Medium,9.4,78.6,1.75,N
P012-2025-07,2025-07-01,P012,76,High,17.4,85.6,1.29,N
P012-2025-08,2025-08-01,P012,67,Medium,14.6,82.1,1.85,N
P012-2025-09,2025-09-01,P012,66,Medium,13.6,86.4,1.71,N
P012-2025-10,2025-10-01,P012,59,Medium,11.2,76.3,1.27,N
P012-2025-11,2025-11-01,P012,51,Medium,9.5,73.2,1.78,N
P012-2025-12,2025-12-01,P012,57,Medium,11.7,76.2,1.46,N
P013-2024-01,2024-01-01,P013,46,Medium,10.5,76.0,1.12,N
P013-2024-02,2024-02-01,P013,32,Low,8.5,61.4,1.38,N
P013-2024-03,2024-03-01,P013,24,Low,8.8,64.0,0.73,N
P013-2024-04,2024-04-01,P013,28,Low,5.8,61.4,0.64,N
P013-2024-05,2024-05-01,P013,32,Low,8.2,68.7,1.35,N
P013-2024-06,2024-06-01,P013,29,Low,8.5,62.9,1.17,N
P013-2024-07,2024-07-01,P013,31,Low,4.8,62.0,1.24,N
P013-2024-08,2024-08-01,P013,32,Low,9.8,62.3,1.2,N
P013-2024-09,2024-09-01,P013,16,Low,4.6,61.2,0.8,N
P013-2024-10,2024-10-01,P013,22,Low,4.8,59.3,0.95,N
P013-2024-11,2024-11-01,P013,34,Low,6.7,62.8,1.19,N
P013-2024-12,2024-12-01,P013,44,Low,8.4,73.4,1.56,N
P013-2025-01,2025-01-01,P013,31,Low,8.0,67.7,0.9,N
P013-2025-02,2025-02-01,P013,35,Low,8.8,69.6,1.41,N
P013-2025-03,2025-03-01,P013,52,Medium,13.9,75.2,1.65,Y
P013-2025-04,2025-04-01,P013,35,Low,3.7,64.2,1.02,Y
P013-2025-05,2025-05-01,P013,30,Low,4.7,66.4,1.5,N
P013-2025-06,2025-06-01,P013,23,Low,5.1,58.3,1.3,N
P013-2025-07,2025-07-01,P013,14,Low,5.6,64.0,1.02,N
P013-2025-08,2025-08-01,P013,27,Low,5.9,60.5,1.39,N
P013-2025-09,2025-09-01,P013,23,Low,7.7,54.5,0.45,N
P013-2025-10,2025-10-01,P013,9,Low,1.9,50.3,0.51,N
P013-2025-11,2025-11-01,P013,35,Low,9.4,67.5,1.17,N
P013-2025-12,2025-12-01,P013,35,Low,14.6,63.9,1.21,N
P014-2024-01,2024-01-01,P014,51,Medium,6.8,76.0,1.82,N
P014-2024-02,2024-02-01,P014,55,Medium,12.2,81.0,1.55,N
P014-2024-03,2024-03-01,P014,52,Medium,9.1,71.3,1.39,N
P014-2024-04,2024-04-01,P014,32,Low,2.4,70.0,1.15,N
P014-2024-05,2024-05-01,P014,56,Medium,11.1,77.2,1.33,N
P014-2024-06,2024-06-01,P014,44,Low,12.5,76.6,1.7,N
P014-2024-07,2024-07-01,P014,52,Medium,12.1,72.2,1.22,N
P014-2024-08,2024-08-01,P014,38,Low,6.3,69.6,1.11,N
P014-2024-09,2024-09-01,P014,59,Medium,6.9,82.1,1.86,N
P014-2024-10,2024-10-01,P014,43,Low,11.0,76.7,1.77,N
P014-2024-11,2024-11-01,P014,46,Medium,10.2,74.8,1.2,N
P014-2024-12,2024-12-01,P014,55,Medium,10.2,77.2,1.34,N
P014-2025-01,2025-01-01,P014,48,Medium,10.3,71.0,1.5,N
P014-2025-02,2025-02-01,P014,39,Low,11.9,70.6,1.41,N
P014-2025-03,2025-03-01,P014,50,Medium,13.4,74.8,1.62,N
P014-2025-04,2025-04-01,P014,65,Medium,14.7,79.2,2.14,N
P014-2025-05,2025-05-01,P014,33,Low,7.1,68.0,1.28,N
P014-2025-06,2025-06-01,P014,30,Low,7.9,67.3,0.88,N
P014-2025-07,2025-07-01,P014,59,Medium,12.9,72.9,1.46,N
P014-2025-08,2025-08-01,P014,35,Low,8.9,75.5,1.13,N
P014-2025-09,2025-09-01,P014,51,Medium,8.9,79.8,1.54,N
P014-2025-10,2025-10-01,P014,54,Medium,8.0,70.4,1.52,N
P014-2025-11,2025-11-01,P014,41,Low,11.8,65.3,1.04,N
P014-2025-12,2025-12-01,P014,46,Medium,11.3,73.7,1.57,N
P015-2024-01,2024-01-01,P015,49,Medium,9.8,73.4,1.72,N
P015-2024-02,2024-02-01,P015,53,Medium,12.7,70.9,1.42,N
P015-2024-03,2024-03-01,P015,41,Low,6.1,75.3,1.49,N
P015-2024-04,2024-04-01,P015,45,Medium,7.7,74.6,0.83,N
P015-2024-05,2024-05-01,P015,32,Low,8.0,66.1,0.9,N
P015-2024-06,2024-06-01,P015,45,Medium,14.4,77.2,1.22,N
P015-2024-07,2024-07-01,P015,46,Medium,9.0,71.7,1.31,N
P015-2024-08,2024-08-01,P015,49,Medium,9.7,69.3,0.79,N
P015-2024-09,2024-09-01,P015,48,Medium,6.2,79.8,1.14,N
P015-2024-10,2024-10-01,P015,39,Low,3.9,72.9,1.5,N
P015-2024-11,2024-11-01,P015,36,Low,6.3,55.0,1.04,N
P015-2024-12,2024-12-01,P015,52,Medium,16.2,78.0,1.79,N
P015-2025-01,2025-01-01,P015,44,Low,9.1,63.0,1.05,N
P015-2025-02,2025-02-01,P015,44,Low,10.2,62.1,1.26,N
P015-2025-03,2025-03-01,P015,46,Medium,11.6,75.0,1.32,N
P015-2025-04,2025-04-01,P015,46,Medium,10.0,69.3,1.59,N
P015-2025-05,2025-05-01,P015,47,Medium,6.3,75.6,1.59,N
P015-2025-06,2025-06-01,P015,53,Medium,13.1,77.8,1.63,N
P015-2025-07,2025-07-01,P015,36,Low,8.7,65.7,1.05,N
P015-2025-08,2025-08-01,P015,45,Medium,7.1,71.3,1.26,N
P015-2025-09,2025-09-01,P015,39,Low,11.3,76.9,0.8,N
P015-2025-10,2025-10-01,P015,43,Low,9.4,73.8,1.48,N
P015-2025-11,2025-11-01,P015,42,Low,11.4,66.1,0.82,N
P015-2025-12,2025-12-01,P015,32,Low,7.1,65.9,0.98,N
P016-2024-01,2024-01-01,P016,68,Medium,12.4,83.8,1.94,N
P016-2024-02,2024-02-01,P016,64,Medium,12.0,78.9,2.07,N
P016-2024-03,2024-03-01,P016,76,High,14.9,88.9,1.88,N
P016-2024-04,2024-04-01,P016,60,Medium,15.4,78.5,1.17,N
P016-2024-05,2024-05-01,P016,73,Medium,17.5,81.6,1.91,N
P016-2024-06,2024-06-01,P016,48,Medium,10.5,77.2,1.11,N
P016-2024-07,2024-07-01,P016,66,Medium,14.6,85.1,1.56,N
P016-2024-08,2024-08-01,P016,58,Medium,14.9,77.8,1.58,N
P016-2024-09,2024-09-01,P016,53,Medium,8.2,76.9,1.39,N
P016-2024-10,2024-10-01,P016,59,Medium,16.5,78.7,1.35,N
P016-2024-11,2024-11-01,P016,56,Medium,16.3,80.0,1.69,N
